"AuditID","SchemaName","TableName","RecordID","ActionType","OldValues","NewValues","ChangedBy","ChangedAt"
"1","Franchise","RevenueShareSettlement","1","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"2","Franchise","RevenueShareSettlement","1","SETTLEMENT","","66803481.0500","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"3","Franchise","RevenueShareSettlement","2","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"4","Franchise","RevenueShareSettlement","2","SETTLEMENT","","214839204.3500","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"5","Franchise","RevenueShareSettlement","3","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"6","Franchise","RevenueShareSettlement","3","SETTLEMENT","","221439387.7000","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"7","Franchise","RevenueShareSettlement","4","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"8","Franchise","RevenueShareSettlement","4","SETTLEMENT","","49317418.5000","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"9","Franchise","RevenueShareSettlement","5","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"10","Franchise","RevenueShareSettlement","5","SETTLEMENT","","47631687.8000","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"11","Franchise","RevenueShareSettlement","6","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"12","Franchise","RevenueShareSettlement","6","SETTLEMENT","","42968458.0500","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"13","Franchise","RevenueShareSettlement","7","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"14","Franchise","RevenueShareSettlement","7","SETTLEMENT","","54061592.8500","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"15","Franchise","RevenueShareSettlement","8","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"16","Franchise","RevenueShareSettlement","8","SETTLEMENT","","87260619.0000","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"17","Franchise","RevenueShareSettlement","9","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"18","Franchise","RevenueShareSettlement","9","SETTLEMENT","","58388118.8000","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"19","Franchise","RevenueShareSettlement","10","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"20","Franchise","RevenueShareSettlement","10","SETTLEMENT","","91637717.0000","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"21","Franchise","RevenueShareSettlement","11","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"22","Franchise","RevenueShareSettlement","11","SETTLEMENT","","57395103.0000","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"23","Franchise","RevenueShareSettlement","12","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"24","Franchise","RevenueShareSettlement","12","SETTLEMENT","","74308363.5000","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"25","Franchise","RevenueShareSettlement","13","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"26","Franchise","RevenueShareSettlement","13","SETTLEMENT","","77133917.3000","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"27","Franchise","RevenueShareSettlement","14","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"28","Franchise","RevenueShareSettlement","14","SETTLEMENT","","76714413.7500","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"29","Franchise","RevenueShareSettlement","15","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"30","Franchise","RevenueShareSettlement","15","SETTLEMENT","","103346217.5000","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"31","Franchise","RevenueShareSettlement","16","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"32","Franchise","RevenueShareSettlement","16","SETTLEMENT","","66860206.4500","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"33","Franchise","RevenueShareSettlement","17","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"34","Franchise","RevenueShareSettlement","17","SETTLEMENT","","214354000.6500","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"35","Franchise","RevenueShareSettlement","18","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"36","Franchise","RevenueShareSettlement","18","SETTLEMENT","","223110383.9000","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"37","Franchise","RevenueShareSettlement","19","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"38","Franchise","RevenueShareSettlement","19","SETTLEMENT","","48994001.0000","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"39","Franchise","RevenueShareSettlement","20","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"40","Franchise","RevenueShareSettlement","20","SETTLEMENT","","47618817.3500","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"41","Franchise","RevenueShareSettlement","21","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"42","Franchise","RevenueShareSettlement","21","SETTLEMENT","","43174610.2500","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"43","Franchise","RevenueShareSettlement","22","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"44","Franchise","RevenueShareSettlement","22","SETTLEMENT","","54063201.3000","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"45","Franchise","RevenueShareSettlement","23","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"46","Franchise","RevenueShareSettlement","23","SETTLEMENT","","87152614.2500","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"47","Franchise","RevenueShareSettlement","24","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"48","Franchise","RevenueShareSettlement","24","SETTLEMENT","","58631523.7000","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"49","Franchise","RevenueShareSettlement","25","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"50","Franchise","RevenueShareSettlement","25","SETTLEMENT","","91660512.0000","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
"51","Franchise","RevenueShareSettlement","26","INSERT","","Approved","MicrosoftAccount\hocvienbimat@gmail.com","6/1/2026 10:28:56 PM"
