"AddressID","RegionID","StreetAddress","Ward","District","Latitude","Longitude","FullAddress","CreatedAt"
"1","1","72 Le Thanh Ton","Ben Nghe","Quan 1","10.1300000","106.0900000","72 Le Thanh Ton, Ben Nghe, Quan 1","6/1/2026 10:27:39 PM"
"2","2","18 Tran Hung Dao","Phan Chu Trinh","Hoan Kiem","10.2600000","106.1800000","18 Tran Hung Dao, Phan Chu Trinh, Hoan Kiem","6/1/2026 10:27:39 PM"
"3","3","35 Nguyen Van Linh","Binh Hien","Hai Chau","10.3900000","106.2700000","35 Nguyen Van Linh, Binh Hien, Hai Chau","6/1/2026 10:27:39 PM"
"4","4","230 Dai lo Binh Duong","Phu Hoa","Thu Dau Mot","10.5200000","106.3600000","230 Dai lo Binh Duong, Phu Hoa, Thu Dau Mot","6/1/2026 10:27:39 PM"
"5","5","12 Dien Bien Phu","Minh Khai","Hong Bang","10.6500000","106.4500000","12 Dien Bien Phu, Minh Khai, Hong Bang","6/1/2026 10:27:39 PM"
"6","6","45 Vo Thi Sau","Thong Nhat","Bien Hoa","10.7800000","106.5400000","45 Vo Thi Sau, Thong Nhat, Bien Hoa","6/1/2026 10:27:39 PM"
"7","7","8 Hoa Binh","Ninh Kieu","Ninh Kieu","10.9100000","106.6300000","8 Hoa Binh, Ninh Kieu, Ninh Kieu","6/1/2026 10:27:39 PM"
"8","8","126 Ba Cu","Phuong 1","TP Vung Tau","11.0400000","106.7200000","126 Ba Cu, Phuong 1, TP Vung Tau","6/1/2026 10:27:39 PM"
"9","9","20 Tran Phu","Loc Tho","Nha Trang","11.1700000","106.8100000","20 Tran Phu, Loc Tho, Nha Trang","6/1/2026 10:27:39 PM"
"10","10","88 Ha Long","Bai Chay","Ha Long","11.3000000","106.9000000","88 Ha Long, Bai Chay, Ha Long","6/1/2026 10:27:39 PM"
"11","11","6 Tran Hung Dao","Phuong 10","Da Lat","11.4300000","106.9900000","6 Tran Hung Dao, Phuong 10, Da Lat","6/1/2026 10:27:39 PM"
"12","12","191 Le Duan","Truong Thi","TP Vinh","11.5600000","107.0800000","191 Le Duan, Truong Thi, TP Vinh","6/1/2026 10:27:39 PM"
"13","13","27 Dai lo Le Loi","Dien Bien","TP Thanh Hoa","11.6900000","107.1700000","27 Dai lo Le Loi, Dien Bien, TP Thanh Hoa","6/1/2026 10:27:39 PM"
"14","14","14 Hung Vuong","Phu Hoi","TP Hue","11.8200000","107.2600000","14 Hung Vuong, Phu Hoi, TP Hue","6/1/2026 10:27:39 PM"
"15","15","3 Ly Thai To","Vo Cuong","TP Bac Ninh","11.9500000","107.3500000","3 Ly Thai To, Vo Cuong, TP Bac Ninh","6/1/2026 10:27:39 PM"
"16","20","49 Tran Hung Dao","My Binh","Long Xuyen","10.3874000","105.4361000","49 Tran Hung Dao, My Binh, Long Xuyen","6/1/2026 10:27:39 PM"
"17","20","56 Tran Hung Dao","My Binh","Long Xuyen","10.3883000","105.4370000","56 Tran Hung Dao, My Binh, Long Xuyen","6/1/2026 10:27:39 PM"
