"ContractID","FranchiseID","ContractCode","StartDate","EndDate","BaseRevenueShareRate","ContractStatus","SignedAt","CreatedAt"
"1","1","FC-FRC01-2024","6/1/2024 12:00:00 AM","6/1/2027 12:00:00 AM","59.00","Active","6/1/2026 10:27:39 PM","6/1/2026 10:27:39 PM"
"2","2","FC-FRC02-2024","6/1/2024 12:00:00 AM","6/1/2027 12:00:00 AM","60.00","Active","6/1/2026 10:27:39 PM","6/1/2026 10:27:39 PM"
"3","3","FC-FRC03-2024","6/1/2024 12:00:00 AM","6/1/2027 12:00:00 AM","61.00","Active","6/1/2026 10:27:39 PM","6/1/2026 10:27:39 PM"
"4","4","FC-FRC04-2024","6/1/2024 12:00:00 AM","6/1/2027 12:00:00 AM","62.00","Active","6/1/2026 10:27:39 PM","6/1/2026 10:27:39 PM"
"5","5","FC-FRC05-2024","6/1/2024 12:00:00 AM","6/1/2027 12:00:00 AM","63.00","Active","6/1/2026 10:27:39 PM","6/1/2026 10:27:39 PM"
"6","6","FC-FRC06-2024","6/1/2024 12:00:00 AM","6/1/2027 12:00:00 AM","64.00","Active","6/1/2026 10:27:39 PM","6/1/2026 10:27:39 PM"
"7","7","FC-FRC07-2024","6/1/2024 12:00:00 AM","6/1/2027 12:00:00 AM","65.00","Active","6/1/2026 10:27:39 PM","6/1/2026 10:27:39 PM"
"8","8","FC-FRC08-2024","6/1/2024 12:00:00 AM","6/1/2027 12:00:00 AM","66.00","Active","6/1/2026 10:27:39 PM","6/1/2026 10:27:39 PM"
"9","9","FC-FRC09-2024","6/1/2024 12:00:00 AM","6/1/2027 12:00:00 AM","67.00","Active","6/1/2026 10:27:39 PM","6/1/2026 10:27:39 PM"
"10","10","FC-FRC10-2024","6/1/2024 12:00:00 AM","6/1/2027 12:00:00 AM","58.00","Active","6/1/2026 10:27:39 PM","6/1/2026 10:27:39 PM"
"11","11","FC-FRC11-2024","6/1/2024 12:00:00 AM","6/1/2027 12:00:00 AM","59.00","Active","6/1/2026 10:27:39 PM","6/1/2026 10:27:39 PM"
"12","12","FC-FRC12-2024","6/1/2024 12:00:00 AM","6/1/2027 12:00:00 AM","60.00","Active","6/1/2026 10:27:39 PM","6/1/2026 10:27:39 PM"
"13","13","FC-FRC13-2024","6/1/2024 12:00:00 AM","6/1/2027 12:00:00 AM","61.00","Active","6/1/2026 10:27:39 PM","6/1/2026 10:27:39 PM"
"14","14","FC-FRC14-2024","6/1/2024 12:00:00 AM","6/1/2027 12:00:00 AM","62.00","Active","6/1/2026 10:27:39 PM","6/1/2026 10:27:39 PM"
"15","15","FC-FRC15-2024","6/1/2024 12:00:00 AM","6/1/2027 12:00:00 AM","63.00","Active","6/1/2026 10:27:39 PM","6/1/2026 10:27:39 PM"
