"RevenueSharePolicyID","ContractID","PolicyCode","PartnerShareRate","PlatformShareRate","AppliedFrom","AppliedTo","IsActive"
"1","1","RSP-FC-FRC01-2024","59.00","41.00","6/1/2024 12:00:00 AM","","True"
"2","2","RSP-FC-FRC02-2024","60.00","40.00","6/1/2024 12:00:00 AM","","True"
"3","3","RSP-FC-FRC03-2024","61.00","39.00","6/1/2024 12:00:00 AM","","True"
"4","4","RSP-FC-FRC04-2024","62.00","38.00","6/1/2024 12:00:00 AM","","True"
"5","5","RSP-FC-FRC05-2024","63.00","37.00","6/1/2024 12:00:00 AM","","True"
"6","6","RSP-FC-FRC06-2024","64.00","36.00","6/1/2024 12:00:00 AM","","True"
"7","7","RSP-FC-FRC07-2024","65.00","35.00","6/1/2024 12:00:00 AM","","True"
"8","8","RSP-FC-FRC08-2024","66.00","34.00","6/1/2024 12:00:00 AM","","True"
"9","9","RSP-FC-FRC09-2024","67.00","33.00","6/1/2024 12:00:00 AM","","True"
"10","10","RSP-FC-FRC10-2024","58.00","42.00","6/1/2024 12:00:00 AM","","True"
"11","11","RSP-FC-FRC11-2024","59.00","41.00","6/1/2024 12:00:00 AM","","True"
"12","12","RSP-FC-FRC12-2024","60.00","40.00","6/1/2024 12:00:00 AM","","True"
"13","13","RSP-FC-FRC13-2024","61.00","39.00","6/1/2024 12:00:00 AM","","True"
"14","14","RSP-FC-FRC14-2024","62.00","38.00","6/1/2024 12:00:00 AM","","True"
"15","15","RSP-FC-FRC15-2024","63.00","37.00","6/1/2024 12:00:00 AM","","True"
