"PointID","PointCode","StationID","ConnectorTypeID","PowerKW","SerialNumber","PointStatus","HealthStatus","CreatedAt","UpdatedAt"
"1","ST-013-P01","1","1","150.00","SN-ST-013-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"2","ST-013-P02","1","2","60.00","SN-ST-013-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"3","ST-045-P01","3","4","120.00","SN-ST-045-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"4","ST-045-P02","3","3","22.00","SN-ST-045-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"5","ST-077-P01","5","1","120.00","SN-ST-077-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"6","ST-077-P02","5","1","120.00","SN-ST-077-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"7","ST-063-P01","6","1","120.00","SN-ST-063-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"8","ST-063-P02","6","2","60.00","SN-ST-063-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"9","ST-047-P01","10","1","120.00","SN-ST-047-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"10","ST-047-P02","10","1","120.00","SN-ST-047-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"11","ST-079-P01","12","2","60.00","SN-ST-079-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"12","ST-079-P02","12","4","120.00","SN-ST-079-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"13","ST-017-P01","14","3","22.00","SN-ST-017-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"14","ST-017-P02","14","1","150.00","SN-ST-017-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"15","ST-049-P01","16","1","120.00","SN-ST-049-P01","Maintenance","Warning","6/1/2026 10:27:39 PM",""
"16","ST-049-P02","16","2","60.00","SN-ST-049-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"17","ST-081-P01","18","4","120.00","SN-ST-081-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"18","ST-081-P02","18","3","22.00","SN-ST-081-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"19","ST-019-P01","21","1","150.00","SN-ST-019-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"20","ST-019-P02","21","2","60.00","SN-ST-019-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"21","ST-051-P01","23","4","120.00","SN-ST-051-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"22","ST-051-P02","23","3","22.00","SN-ST-051-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"23","ST-095-P01","24","3","22.00","SN-ST-095-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"24","ST-095-P02","24","1","60.00","SN-ST-095-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"25","ST-083-P01","26","1","120.00","SN-ST-083-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"26","ST-083-P02","26","2","60.00","SN-ST-083-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"27","ST-053-P01","30","1","120.00","SN-ST-053-P01","Maintenance","Normal","6/1/2026 10:27:39 PM",""
"28","ST-053-P02","30","1","120.00","SN-ST-053-P02","Maintenance","Normal","6/1/2026 10:27:39 PM",""
"29","ST-085-P01","32","2","60.00","SN-ST-085-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"30","ST-085-P02","32","4","120.00","SN-ST-085-P02","Maintenance","Warning","6/1/2026 10:27:39 PM",""
"31","ST-001-P01","34","3","22.00","SN-ST-001-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"32","ST-001-P02","34","1","150.00","SN-ST-001-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"33","ST-023-P01","35","1","150.00","SN-ST-023-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"34","ST-023-P02","35","1","150.00","SN-ST-023-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"35","ST-055-P01","37","2","60.00","SN-ST-055-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"36","ST-055-P02","37","4","120.00","SN-ST-055-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"37","ST-087-P01","39","3","22.00","SN-ST-087-P01","Maintenance","Normal","6/1/2026 10:27:39 PM",""
"38","ST-087-P02","39","1","120.00","SN-ST-087-P02","Maintenance","Normal","6/1/2026 10:27:39 PM",""
"39","ST-025-P01","42","2","60.00","SN-ST-025-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"40","ST-025-P02","42","4","120.00","SN-ST-025-P02","Available","Normal","6/1/2026 10:27:39 PM",""
"41","ST-057-P01","44","3","22.00","SN-ST-057-P01","Available","Normal","6/1/2026 10:27:39 PM",""
"42","ST-057-P02","44","1","120.00","SN-ST-057-P02","Available","Normal","6/1/2026 10:27:39 PM",""
