"SupplierID","SupplierCode","SupplierName","RegionID","UnitPricePerKWh","IsActive"
"1","EVN-HCM","EVN TP Ho Chi Minh","1","1905.0000","True"
"2","EVN-HN","EVN Ha Noi","2","1910.0000","True"
"3","EVN-DNG","EVN Da Nang","3","1915.0000","True"
"4","EVN-BD","EVN Binh Duong","4","1920.0000","True"
"5","EVN-HP","EVN Hai Phong","5","1925.0000","True"
"6","EVN-DN","EVN Dong Nai","6","1930.0000","True"
"7","EVN-CT","EVN Can Tho","7","1935.0000","True"
"8","EVN-BRVT","EVN Ba Ria - Vung Tau","8","1940.0000","True"
"9","EVN-KH","EVN Khanh Hoa","9","1945.0000","True"
"10","EVN-QNI","EVN Quang Ninh","10","1950.0000","True"
"11","EVN-LD","EVN Lam Dong","11","1955.0000","True"
"12","EVN-NA","EVN Nghe An","12","1960.0000","True"
"13","EVN-TH","EVN Thanh Hoa","13","1965.0000","True"
"14","EVN-TTH","EVN Thua Thien Hue","14","1970.0000","True"
"15","EVN-BN","EVN Bac Ninh","15","1975.0000","True"
"16","EVN-HD","EVN Hai Duong","16","1980.0000","True"
"17","EVN-LA","EVN Long An","17","1985.0000","True"
"18","EVN-TG","EVN Tien Giang","18","1990.0000","True"
"19","EVN-VP","EVN Vinh Phuc","19","1995.0000","True"
"20","EVN-AG","EVN An Giang","20","2000.0000","True"
"21","EVN-KG","EVN Kien Giang","21","2005.0000","True"
"22","EVN-QNM","EVN Quang Nam","22","2010.0000","True"
"23","EVN-QT","EVN Quang Tri","23","2015.0000","True"
"24","EVN-BTH","EVN Binh Thuan","24","2020.0000","True"
"25","EVN-GL","EVN Gia Lai","25","2025.0000","True"
"26","EVN-DLK","EVN Dak Lak","26","2030.0000","True"
"27","EVN-TN","EVN Tay Ninh","27","2035.0000","True"
"28","EVN-HNM","EVN Ha Nam","28","2040.0000","True"
"29","EVN-NB","EVN Ninh Binh","29","2045.0000","True"
"30","EVN-TB","EVN Thai Binh","30","2050.0000","True"
"31","EVN-PT","EVN Phu Tho","31","2055.0000","True"
"32","EVN-BG","EVN Bac Giang","32","2060.0000","True"
"33","EVN-LCI","EVN Lao Cai","33","2065.0000","True"
"34","EVN-HG","EVN Ha Giang","34","2070.0000","True"
"35","EVN-SL","EVN Son La","35","2075.0000","True"
"36","EVN-DB","EVN Dien Bien","36","2080.0000","True"
"37","EVN-LCH","EVN Lai Chau","37","2085.0000","True"
"38","EVN-CB","EVN Cao Bang","38","2090.0000","True"
"39","EVN-BK","EVN Bac Kan","39","2095.0000","True"
"40","EVN-KT","EVN Kon Tum","40","2100.0000","True"
