"ErrorID","ErrorCode","StationID","PointID","Severity","Description","OccurredAt","ResolvedAt","ResolvedBy","IsActive"
"1","ERR-00001","1","2","Low","Can hieu chuan lai cam bien trang thai dau sac","6/12/2024 10:27:39 PM","6/13/2024 3:27:39 AM","9","False"
"2","ERR-00002","3","3","Low","Can hieu chuan lai cam bien trang thai dau sac","6/23/2024 10:27:39 PM","6/24/2024 4:27:39 AM","10","False"
"3","ERR-00003","3","4","Medium","Dong dien dao dong bat thuong trong gio cao diem","7/4/2024 10:27:39 PM","7/5/2024 5:27:39 AM","11","False"
"4","ERR-00004","5","5","Low","Can hieu chuan lai cam bien trang thai dau sac","7/15/2024 10:27:39 PM","7/16/2024 6:27:39 AM","12","False"
"5","ERR-00005","5","6","Low","Can hieu chuan lai cam bien trang thai dau sac","7/26/2024 10:27:39 PM","7/27/2024 7:27:39 AM","13","False"
"6","ERR-00006","6","7","Medium","Dong dien dao dong bat thuong trong gio cao diem","8/6/2024 10:27:39 PM","8/7/2024 8:27:39 AM","14","False"
"7","ERR-00007","6","8","High","Mat ket noi voi bo dieu khien cong sac","8/17/2024 10:27:39 PM","8/18/2024 9:27:39 AM","15","False"
"8","ERR-00008","10","9","Low","Can hieu chuan lai cam bien trang thai dau sac","8/28/2024 10:27:39 PM","8/29/2024 10:27:39 AM","16","False"
"9","ERR-00009","10","10","Medium","Dong dien dao dong bat thuong trong gio cao diem","9/8/2024 10:27:39 PM","","","True"
"10","ERR-00010","12","11","Low","Can hieu chuan lai cam bien trang thai dau sac","9/19/2024 10:27:39 PM","9/20/2024 12:27:39 PM","18","False"
"11","ERR-00011","12","12","Low","Can hieu chuan lai cam bien trang thai dau sac","9/30/2024 10:27:39 PM","10/1/2024 1:27:39 PM","19","False"
"12","ERR-00012","14","13","Medium","Dong dien dao dong bat thuong trong gio cao diem","10/11/2024 10:27:39 PM","10/12/2024 2:27:39 PM","20","False"
"13","ERR-00013","14","14","Low","Can hieu chuan lai cam bien trang thai dau sac","10/22/2024 10:27:39 PM","10/23/2024 3:27:39 PM","21","False"
"14","ERR-00014","16","15","High","Mat ket noi voi bo dieu khien cong sac","11/2/2024 10:27:39 PM","11/3/2024 4:27:39 PM","22","False"
"15","ERR-00015","16","16","Medium","Dong dien dao dong bat thuong trong gio cao diem","11/13/2024 10:27:39 PM","11/14/2024 5:27:39 PM","23","False"
"16","ERR-00016","18","17","Low","Can hieu chuan lai cam bien trang thai dau sac","11/24/2024 10:27:39 PM","11/25/2024 6:27:39 PM","24","False"
"17","ERR-00017","18","18","Critical","Nhiet do dau sac vuot nguong, tam dung phien sac de kiem tra","12/5/2024 10:27:39 PM","12/6/2024 7:27:39 PM","25","False"
"18","ERR-00018","21","19","Medium","Dong dien dao dong bat thuong trong gio cao diem","12/16/2024 10:27:39 PM","","","True"
"19","ERR-00019","21","20","Low","Can hieu chuan lai cam bien trang thai dau sac","12/27/2024 10:27:39 PM","12/28/2024 9:27:39 PM","27","False"
"20","ERR-00020","23","21","Low","Can hieu chuan lai cam bien trang thai dau sac","1/7/2025 10:27:39 PM","1/8/2025 10:27:39 PM","28","False"
"21","ERR-00021","23","22","High","Mat ket noi voi bo dieu khien cong sac","1/18/2025 10:27:39 PM","1/19/2025 11:27:39 PM","29","False"
"22","ERR-00022","24","23","Low","Can hieu chuan lai cam bien trang thai dau sac","1/29/2025 10:27:39 PM","1/31/2025 12:27:39 AM","30","False"
"23","ERR-00023","24","24","Low","Can hieu chuan lai cam bien trang thai dau sac","2/9/2025 10:27:39 PM","2/11/2025 1:27:39 AM","31","False"
"24","ERR-00024","26","25","Medium","Dong dien dao dong bat thuong trong gio cao diem","2/20/2025 10:27:39 PM","2/22/2025 2:27:39 AM","32","False"
"25","ERR-00025","26","26","Low","Can hieu chuan lai cam bien trang thai dau sac","3/3/2025 10:27:39 PM","3/5/2025 3:27:39 AM","33","False"
"26","ERR-00026","30","27","Low","Can hieu chuan lai cam bien trang thai dau sac","3/14/2025 10:27:39 PM","3/16/2025 4:27:39 AM","34","False"
"27","ERR-00027","30","28","Medium","Dong dien dao dong bat thuong trong gio cao diem","3/25/2025 10:27:39 PM","","","True"
"28","ERR-00028","32","29","High","Mat ket noi voi bo dieu khien cong sac","4/5/2025 10:27:39 PM","4/7/2025 6:27:39 AM","36","False"
"29","ERR-00029","32","30","Low","Can hieu chuan lai cam bien trang thai dau sac","4/16/2025 10:27:39 PM","4/18/2025 7:27:39 AM","9","False"
"30","ERR-00030","34","31","Medium","Dong dien dao dong bat thuong trong gio cao diem","4/27/2025 10:27:39 PM","4/29/2025 8:27:39 AM","10","False"
"31","ERR-00031","34","32","Low","Can hieu chuan lai cam bien trang thai dau sac","5/8/2025 10:27:39 PM","5/10/2025 9:27:39 AM","11","False"
"32","ERR-00032","35","33","Low","Can hieu chuan lai cam bien trang thai dau sac","5/19/2025 10:27:39 PM","5/21/2025 10:27:39 AM","12","False"
"33","ERR-00033","35","34","Medium","Dong dien dao dong bat thuong trong gio cao diem","5/30/2025 10:27:39 PM","6/1/2025 11:27:39 AM","13","False"
"34","ERR-00034","37","35","Critical","Nhiet do dau sac vuot nguong, tam dung phien sac de kiem tra","6/10/2025 10:27:39 PM","6/12/2025 12:27:39 PM","14","False"
"35","ERR-00035","37","36","High","Mat ket noi voi bo dieu khien cong sac","6/21/2025 10:27:39 PM","6/23/2025 1:27:39 PM","15","False"
"36","ERR-00036","39","37","Medium","Dong dien dao dong bat thuong trong gio cao diem","7/2/2025 10:27:39 PM","","","True"
"37","ERR-00037","39","38","Low","Can hieu chuan lai cam bien trang thai dau sac","7/13/2025 10:27:39 PM","7/15/2025 3:27:39 PM","17","False"
"38","ERR-00038","42","39","Low","Can hieu chuan lai cam bien trang thai dau sac","7/24/2025 10:27:39 PM","7/26/2025 4:27:39 PM","18","False"
"39","ERR-00039","42","40","Medium","Dong dien dao dong bat thuong trong gio cao diem","8/4/2025 10:27:39 PM","8/6/2025 5:27:39 PM","19","False"
"40","ERR-00040","44","41","Low","Can hieu chuan lai cam bien trang thai dau sac","8/15/2025 10:27:39 PM","8/17/2025 6:27:39 PM","20","False"
"41","ERR-00041","44","42","Low","Can hieu chuan lai cam bien trang thai dau sac","8/26/2025 10:27:39 PM","8/28/2025 7:27:39 PM","21","False"
"42","ERR-00042","46","43","High","Mat ket noi voi bo dieu khien cong sac","9/6/2025 10:27:39 PM","9/8/2025 8:27:39 PM","22","False"
"43","ERR-00043","46","44","Low","Can hieu chuan lai cam bien trang thai dau sac","9/17/2025 10:27:39 PM","9/19/2025 9:27:39 PM","23","False"
"44","ERR-00044","50","45","Low","Can hieu chuan lai cam bien trang thai dau sac","9/28/2025 10:27:39 PM","9/30/2025 10:27:39 PM","24","False"
"45","ERR-00045","50","46","Medium","Dong dien dao dong bat thuong trong gio cao diem","10/9/2025 10:27:39 PM","","","True"
"46","ERR-00046","52","47","Low","Can hieu chuan lai cam bien trang thai dau sac","10/20/2025 10:27:39 PM","10/23/2025 12:27:39 AM","26","False"
"47","ERR-00047","52","48","Low","Can hieu chuan lai cam bien trang thai dau sac","10/31/2025 10:27:39 PM","11/3/2025 1:27:39 AM","27","False"
"48","ERR-00048","55","49","Medium","Dong dien dao dong bat thuong trong gio cao diem","11/11/2025 10:27:39 PM","11/12/2025 2:27:39 AM","28","False"
"49","ERR-00049","55","50","High","Mat ket noi voi bo dieu khien cong sac","11/22/2025 10:27:39 PM","11/23/2025 3:27:39 AM","29","False"
"50","ERR-00050","57","51","Low","Can hieu chuan lai cam bien trang thai dau sac","12/3/2025 10:27:39 PM","12/4/2025 4:27:39 AM","30","False"
"51","ERR-00051","57","52","Critical","Nhiet do dau sac vuot nguong, tam dung phien sac de kiem tra","12/14/2025 10:27:39 PM","12/15/2025 5:27:39 AM","31","False"
"52","ERR-00052","60","53","Low","Can hieu chuan lai cam bien trang thai dau sac","12/25/2025 10:27:39 PM","12/26/2025 6:27:39 AM","32","False"
"53","ERR-00053","60","54","Low","Can hieu chuan lai cam bien trang thai dau sac","1/5/2026 10:27:39 PM","1/6/2026 7:27:39 AM","33","False"
"54","ERR-00054","62","55","Medium","Dong dien dao dong bat thuong trong gio cao diem","1/16/2026 10:27:39 PM","","","True"
"55","ERR-00055","62","56","Low","Can hieu chuan lai cam bien trang thai dau sac","1/27/2026 10:27:39 PM","1/28/2026 9:27:39 AM","35","False"
"56","ERR-00056","65","57","High","Mat ket noi voi bo dieu khien cong sac","2/7/2026 10:27:39 PM","2/8/2026 10:27:39 AM","36","False"
"57","ERR-00057","65","58","Medium","Dong dien dao dong bat thuong trong gio cao diem","2/18/2026 10:27:39 PM","2/19/2026 11:27:39 AM","9","False"
"58","ERR-00058","67","59","Low","Can hieu chuan lai cam bien trang thai dau sac","3/1/2026 10:27:39 PM","3/2/2026 12:27:39 PM","10","False"
