"TicketID","TicketCode","StationID","PointID","ErrorID","CreatedBy","AssignedTo","Priority","TicketStatus","Title","Description","OpenedAt","ClosedAt"
"1","MT-00001","1","2","1","9","9","Low","Closed","Xu ly su co ERR-00001","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","6/12/2024 10:27:39 PM","6/13/2024 3:27:39 AM"
"2","MT-00002","3","3","2","9","9","Low","Closed","Xu ly su co ERR-00002","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","6/23/2024 10:27:39 PM","6/24/2024 4:27:39 AM"
"3","MT-00003","3","4","3","9","9","Medium","Closed","Xu ly su co ERR-00003","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","7/4/2024 10:27:39 PM","7/5/2024 5:27:39 AM"
"4","MT-00004","5","5","4","9","9","Low","Closed","Xu ly su co ERR-00004","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","7/15/2024 10:27:39 PM","7/16/2024 6:27:39 AM"
"5","MT-00005","5","6","5","9","9","Low","Closed","Xu ly su co ERR-00005","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","7/26/2024 10:27:39 PM","7/27/2024 7:27:39 AM"
"6","MT-00006","6","7","6","9","9","Medium","Closed","Xu ly su co ERR-00006","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","8/6/2024 10:27:39 PM","8/7/2024 8:27:39 AM"
"7","MT-00007","6","8","7","9","9","High","Closed","Xu ly su co ERR-00007","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","8/17/2024 10:27:39 PM","8/18/2024 9:27:39 AM"
"8","MT-00008","10","9","8","9","9","Low","Closed","Xu ly su co ERR-00008","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","8/28/2024 10:27:39 PM","8/29/2024 10:27:39 AM"
"9","MT-00009","10","10","9","9","9","Medium","InProgress","Xu ly su co ERR-00009","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","9/8/2024 10:27:39 PM",""
"10","MT-00010","12","11","10","9","9","Low","Closed","Xu ly su co ERR-00010","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","9/19/2024 10:27:39 PM","9/20/2024 12:27:39 PM"
"11","MT-00011","12","12","11","9","9","Low","Closed","Xu ly su co ERR-00011","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","9/30/2024 10:27:39 PM","10/1/2024 1:27:39 PM"
"12","MT-00012","14","13","12","9","9","Medium","Closed","Xu ly su co ERR-00012","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","10/11/2024 10:27:39 PM","10/12/2024 2:27:39 PM"
"13","MT-00013","14","14","13","9","9","Low","Closed","Xu ly su co ERR-00013","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","10/22/2024 10:27:39 PM","10/23/2024 3:27:39 PM"
"14","MT-00014","16","15","14","9","9","High","Closed","Xu ly su co ERR-00014","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","11/2/2024 10:27:39 PM","11/3/2024 4:27:39 PM"
"15","MT-00015","16","16","15","9","9","Medium","Closed","Xu ly su co ERR-00015","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","11/13/2024 10:27:39 PM","11/14/2024 5:27:39 PM"
"16","MT-00016","18","17","16","9","9","Low","Closed","Xu ly su co ERR-00016","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","11/24/2024 10:27:39 PM","11/25/2024 6:27:39 PM"
"17","MT-00017","18","18","17","9","9","Critical","Closed","Xu ly su co ERR-00017","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","12/5/2024 10:27:39 PM","12/6/2024 7:27:39 PM"
"18","MT-00018","21","19","18","9","9","Medium","InProgress","Xu ly su co ERR-00018","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","12/16/2024 10:27:39 PM",""
"19","MT-00019","21","20","19","9","9","Low","Closed","Xu ly su co ERR-00019","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","12/27/2024 10:27:39 PM","12/28/2024 9:27:39 PM"
"20","MT-00020","23","21","20","9","9","Low","Closed","Xu ly su co ERR-00020","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","1/7/2025 10:27:39 PM","1/8/2025 10:27:39 PM"
"21","MT-00021","23","22","21","9","9","High","Closed","Xu ly su co ERR-00021","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","1/18/2025 10:27:39 PM","1/19/2025 11:27:39 PM"
"22","MT-00022","24","23","22","9","9","Low","Closed","Xu ly su co ERR-00022","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","1/29/2025 10:27:39 PM","1/31/2025 12:27:39 AM"
"23","MT-00023","24","24","23","9","9","Low","Closed","Xu ly su co ERR-00023","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2/9/2025 10:27:39 PM","2/11/2025 1:27:39 AM"
"24","MT-00024","26","25","24","9","9","Medium","Closed","Xu ly su co ERR-00024","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2/20/2025 10:27:39 PM","2/22/2025 2:27:39 AM"
"25","MT-00025","26","26","25","9","9","Low","Closed","Xu ly su co ERR-00025","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","3/3/2025 10:27:39 PM","3/5/2025 3:27:39 AM"
"26","MT-00026","30","27","26","9","9","Low","Closed","Xu ly su co ERR-00026","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","3/14/2025 10:27:39 PM","3/16/2025 4:27:39 AM"
"27","MT-00027","30","28","27","9","9","Medium","InProgress","Xu ly su co ERR-00027","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","3/25/2025 10:27:39 PM",""
"28","MT-00028","32","29","28","9","9","High","Closed","Xu ly su co ERR-00028","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","4/5/2025 10:27:39 PM","4/7/2025 6:27:39 AM"
"29","MT-00029","32","30","29","9","9","Low","Closed","Xu ly su co ERR-00029","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","4/16/2025 10:27:39 PM","4/18/2025 7:27:39 AM"
"30","MT-00030","34","31","30","9","9","Medium","Closed","Xu ly su co ERR-00030","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","4/27/2025 10:27:39 PM","4/29/2025 8:27:39 AM"
"31","MT-00031","34","32","31","9","9","Low","Closed","Xu ly su co ERR-00031","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","5/8/2025 10:27:39 PM","5/10/2025 9:27:39 AM"
"32","MT-00032","35","33","32","9","9","Low","Closed","Xu ly su co ERR-00032","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","5/19/2025 10:27:39 PM","5/21/2025 10:27:39 AM"
"33","MT-00033","35","34","33","9","9","Medium","Closed","Xu ly su co ERR-00033","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","5/30/2025 10:27:39 PM","6/1/2025 11:27:39 AM"
"34","MT-00034","37","35","34","9","9","Critical","Closed","Xu ly su co ERR-00034","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","6/10/2025 10:27:39 PM","6/12/2025 12:27:39 PM"
"35","MT-00035","37","36","35","9","9","High","Closed","Xu ly su co ERR-00035","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","6/21/2025 10:27:39 PM","6/23/2025 1:27:39 PM"
"36","MT-00036","39","37","36","9","9","Medium","InProgress","Xu ly su co ERR-00036","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","7/2/2025 10:27:39 PM",""
"37","MT-00037","39","38","37","9","9","Low","Closed","Xu ly su co ERR-00037","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","7/13/2025 10:27:39 PM","7/15/2025 3:27:39 PM"
"38","MT-00038","42","39","38","9","9","Low","Closed","Xu ly su co ERR-00038","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","7/24/2025 10:27:39 PM","7/26/2025 4:27:39 PM"
"39","MT-00039","42","40","39","9","9","Medium","Closed","Xu ly su co ERR-00039","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","8/4/2025 10:27:39 PM","8/6/2025 5:27:39 PM"
"40","MT-00040","44","41","40","9","9","Low","Closed","Xu ly su co ERR-00040","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","8/15/2025 10:27:39 PM","8/17/2025 6:27:39 PM"
"41","MT-00041","44","42","41","9","9","Low","Closed","Xu ly su co ERR-00041","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","8/26/2025 10:27:39 PM","8/28/2025 7:27:39 PM"
