"BookingID","BookingCode","UserID","VehicleID","StationID","PointID","BookedFrom","BookedTo","BookingStatus","CreatedAt","UpdatedAt"
"1","BKG-00004941","492","441","100","89","6/16/2024 9:55:00 PM","6/16/2024 11:43:00 PM","Completed","6/16/2024 8:15:00 PM","6/16/2024 11:23:00 PM"
"2","BKG-00004946","497","446","100","90","6/16/2024 9:55:00 PM","6/16/2024 11:44:00 PM","Completed","6/16/2024 8:15:00 PM","6/16/2024 11:24:00 PM"
"3","BKG-00004966","517","466","96","94","6/16/2024 9:55:00 PM","6/16/2024 11:31:00 PM","Completed","6/16/2024 8:15:00 PM","6/16/2024 11:11:00 PM"
"4","BKG-00004976","527","476","94","96","6/16/2024 9:55:00 PM","6/17/2024 12:20:00 AM","Completed","6/16/2024 8:15:00 PM","6/17/2024 12:00:00 AM"
"5","BKG-00004996","547","496","92","100","6/16/2024 9:55:00 PM","6/17/2024 12:07:00 AM","Completed","6/16/2024 8:15:00 PM","6/16/2024 11:47:00 PM"
"6","BKG-00002023","74","23","5","5","6/17/2024 6:55:00 AM","6/17/2024 8:19:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 7:59:00 AM"
"7","BKG-00002078","129","78","16","16","6/17/2024 6:55:00 AM","6/17/2024 8:11:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 7:51:00 AM"
"8","BKG-00002083","134","83","18","17","6/17/2024 6:55:00 AM","6/17/2024 8:13:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 7:53:00 AM"
"9","BKG-00002103","154","103","23","21","6/17/2024 6:55:00 AM","6/17/2024 9:04:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:44:00 AM"
"10","BKG-00002108","159","108","23","22","6/17/2024 6:55:00 AM","6/17/2024 8:34:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:14:00 AM"
"11","BKG-00002118","169","118","24","24","6/17/2024 6:55:00 AM","6/17/2024 8:52:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:32:00 AM"
"12","BKG-00002123","174","123","26","25","6/17/2024 6:55:00 AM","6/17/2024 8:29:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:09:00 AM"
"13","BKG-00002128","179","128","26","26","6/17/2024 6:55:00 AM","6/17/2024 9:10:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:50:00 AM"
"14","BKG-00002143","194","143","32","29","6/17/2024 6:55:00 AM","6/17/2024 9:05:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:45:00 AM"
"15","BKG-00002168","219","168","35","34","6/17/2024 6:55:00 AM","6/17/2024 9:11:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:51:00 AM"
"16","BKG-00002183","234","183","39","37","6/17/2024 6:55:00 AM","6/17/2024 9:06:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:46:00 AM"
"17","BKG-00002228","279","228","50","46","6/17/2024 6:55:00 AM","6/17/2024 8:37:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:17:00 AM"
"18","BKG-00002243","294","243","55","49","6/17/2024 6:55:00 AM","6/17/2024 8:32:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:12:00 AM"
"19","BKG-00002258","309","258","57","52","6/17/2024 6:55:00 AM","6/17/2024 8:20:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:00:00 AM"
"20","BKG-00002263","314","263","60","53","6/17/2024 6:55:00 AM","6/17/2024 9:08:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:48:00 AM"
"21","BKG-00002308","359","308","70","62","6/17/2024 6:55:00 AM","6/17/2024 8:39:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:19:00 AM"
"22","BKG-00002328","379","328","75","66","6/17/2024 6:55:00 AM","6/17/2024 9:15:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:55:00 AM"
"23","BKG-00002343","394","343","78","69","6/17/2024 6:55:00 AM","6/17/2024 9:10:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:50:00 AM"
"24","BKG-00002368","419","368","83","74","6/17/2024 6:55:00 AM","6/17/2024 9:28:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 9:08:00 AM"
"25","BKG-00002388","439","388","87","78","6/17/2024 6:55:00 AM","6/17/2024 9:15:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:55:00 AM"
"26","BKG-00002393","444","393","91","79","6/17/2024 6:55:00 AM","6/17/2024 10:03:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 9:43:00 AM"
"27","BKG-00002418","469","418","95","84","6/17/2024 6:55:00 AM","6/17/2024 9:51:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 9:31:00 AM"
"28","BKG-00002448","499","448","100","90","6/17/2024 6:55:00 AM","6/17/2024 8:36:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:16:00 AM"
"29","BKG-00002458","509","458","96","92","6/17/2024 6:55:00 AM","6/17/2024 9:25:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 9:05:00 AM"
"30","BKG-00002473","524","473","94","95","6/17/2024 6:55:00 AM","6/17/2024 9:11:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:51:00 AM"
"31","BKG-00002483","534","483","94","97","6/17/2024 6:55:00 AM","6/17/2024 10:00:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 9:40:00 AM"
"32","BKG-00002493","544","493","92","99","6/17/2024 6:55:00 AM","6/17/2024 8:58:00 AM","Completed","6/17/2024 5:15:00 AM","6/17/2024 8:38:00 AM"
"33","BKG-00002030","81","30","5","6","6/17/2024 11:55:00 AM","6/17/2024 1:25:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:05:00 PM"
"34","BKG-00002035","86","35","6","7","6/17/2024 11:55:00 AM","6/17/2024 1:27:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:07:00 PM"
"35","BKG-00002040","91","40","6","8","6/17/2024 11:55:00 AM","6/17/2024 1:01:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 12:41:00 PM"
"36","BKG-00002050","101","50","10","10","6/17/2024 11:55:00 AM","6/17/2024 1:23:00 PM","Expired","6/17/2024 10:15:00 AM","6/17/2024 1:03:00 PM"
"37","BKG-00002060","111","60","12","12","6/17/2024 11:55:00 AM","6/17/2024 1:45:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:25:00 PM"
"38","BKG-00002065","116","65","14","13","6/17/2024 11:55:00 AM","6/17/2024 1:01:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 12:41:00 PM"
"39","BKG-00002070","121","70","14","14","6/17/2024 11:55:00 AM","6/17/2024 1:21:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:01:00 PM"
"40","BKG-00002075","126","75","16","15","6/17/2024 11:55:00 AM","6/17/2024 1:23:00 PM","Expired","6/17/2024 10:15:00 AM","6/17/2024 1:03:00 PM"
"41","BKG-00002095","146","95","21","19","6/17/2024 11:55:00 AM","6/17/2024 1:21:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:01:00 PM"
"42","BKG-00002100","151","100","21","20","6/17/2024 11:55:00 AM","6/17/2024 1:41:00 PM","Expired","6/17/2024 10:15:00 AM","6/17/2024 1:21:00 PM"
"43","BKG-00002110","161","110","23","22","6/17/2024 11:55:00 AM","6/17/2024 2:06:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:46:00 PM"
"44","BKG-00002115","166","115","24","23","6/17/2024 11:55:00 AM","6/17/2024 1:43:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:23:00 PM"
"45","BKG-00002140","191","140","30","28","6/17/2024 11:55:00 AM","6/17/2024 1:49:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:29:00 PM"
"46","BKG-00002160","211","160","34","32","6/17/2024 11:55:00 AM","6/17/2024 1:14:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 12:54:00 PM"
"47","BKG-00002165","216","165","35","33","6/17/2024 11:55:00 AM","6/17/2024 2:02:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:42:00 PM"
"48","BKG-00002170","221","170","35","34","6/17/2024 11:55:00 AM","6/17/2024 1:32:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:12:00 PM"
"49","BKG-00002180","231","180","37","36","6/17/2024 11:55:00 AM","6/17/2024 1:50:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:30:00 PM"
"50","BKG-00002200","251","200","42","40","6/17/2024 11:55:00 AM","6/17/2024 1:15:00 PM","Expired","6/17/2024 10:15:00 AM","6/17/2024 12:55:00 PM"
"51","BKG-00002220","271","220","46","44","6/17/2024 11:55:00 AM","6/17/2024 1:51:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:31:00 PM"
"52","BKG-00002230","281","230","50","46","6/17/2024 11:55:00 AM","6/17/2024 2:09:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:49:00 PM"
"53","BKG-00002240","291","240","52","48","6/17/2024 11:55:00 AM","6/17/2024 1:16:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 12:56:00 PM"
"54","BKG-00002270","321","270","60","54","6/17/2024 11:55:00 AM","6/17/2024 2:10:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:50:00 PM"
"55","BKG-00002305","356","305","70","61","6/17/2024 11:55:00 AM","6/17/2024 1:30:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:10:00 PM"
"56","BKG-00002310","361","310","70","62","6/17/2024 11:55:00 AM","6/17/2024 2:11:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:51:00 PM"
"57","BKG-00002325","376","325","75","65","6/17/2024 11:55:00 AM","6/17/2024 2:06:00 PM","Expired","6/17/2024 10:15:00 AM","6/17/2024 1:46:00 PM"
"58","BKG-00002335","386","335","76","67","6/17/2024 11:55:00 AM","6/17/2024 1:13:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 12:53:00 PM"
"59","BKG-00002345","396","345","78","69","6/17/2024 11:55:00 AM","6/17/2024 1:31:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:11:00 PM"
"60","BKG-00002415","466","415","95","83","6/17/2024 11:55:00 AM","6/17/2024 1:31:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:11:00 PM"
"61","BKG-00002435","486","435","99","87","6/17/2024 11:55:00 AM","6/17/2024 3:09:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 2:49:00 PM"
"62","BKG-00002465","516","465","96","93","6/17/2024 11:55:00 AM","6/17/2024 1:54:00 PM","Completed","6/17/2024 10:15:00 AM","6/17/2024 1:34:00 PM"
"63","BKG-00002475","526","475","94","95","6/17/2024 11:55:00 AM","6/17/2024 2:43:00 PM","Expired","6/17/2024 10:15:00 AM","6/17/2024 2:23:00 PM"
"64","BKG-00002009","60","9","3","4","6/17/2024 4:55:00 PM","6/17/2024 6:25:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:05:00 PM"
"65","BKG-00002019","70","19","6","8","6/17/2024 4:55:00 PM","6/17/2024 6:01:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 5:41:00 PM"
"66","BKG-00002024","75","24","10","10","6/17/2024 4:55:00 PM","6/17/2024 6:21:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:01:00 PM"
"67","BKG-00002032","83","32","14","13","6/17/2024 4:55:00 PM","6/17/2024 6:11:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 5:51:00 PM"
"68","BKG-00002037","88","37","16","15","6/17/2024 4:55:00 PM","6/17/2024 6:13:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 5:53:00 PM"
"69","BKG-00002044","95","44","18","18","6/17/2024 4:55:00 PM","6/17/2024 6:19:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 5:59:00 PM"
"70","BKG-00002054","105","54","23","22","6/17/2024 4:55:00 PM","6/17/2024 6:41:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:21:00 PM"
"71","BKG-00002072","123","72","32","29","6/17/2024 4:55:00 PM","6/17/2024 6:07:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 5:47:00 PM"
"72","BKG-00002074","125","74","32","30","6/17/2024 4:55:00 PM","6/17/2024 6:39:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:19:00 PM"
"73","BKG-00002082","133","82","35","33","6/17/2024 4:55:00 PM","6/17/2024 6:29:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:09:00 PM"
"74","BKG-00002084","135","84","35","34","6/17/2024 4:55:00 PM","6/17/2024 6:15:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 5:55:00 PM"
"75","BKG-00002087","138","87","37","35","6/17/2024 4:55:00 PM","6/17/2024 6:31:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:11:00 PM"
"76","BKG-00002089","140","89","37","36","6/17/2024 4:55:00 PM","6/17/2024 6:17:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 5:57:00 PM"
"77","BKG-00002102","153","102","44","41","6/17/2024 4:55:00 PM","6/17/2024 7:20:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 7:00:00 PM"
"78","BKG-00002107","158","107","46","43","6/17/2024 4:55:00 PM","6/17/2024 6:57:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:37:00 PM"
"79","BKG-00002112","163","112","50","45","6/17/2024 4:55:00 PM","6/17/2024 6:27:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:07:00 PM"
"80","BKG-00002114","165","114","50","46","6/17/2024 4:55:00 PM","6/17/2024 6:59:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:39:00 PM"
"81","BKG-00002119","170","119","52","48","6/17/2024 4:55:00 PM","6/17/2024 6:36:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:16:00 PM"
"82","BKG-00002122","173","122","55","49","6/17/2024 4:55:00 PM","6/17/2024 6:45:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:25:00 PM"
"83","BKG-00002147","198","147","67","59","6/17/2024 4:55:00 PM","6/17/2024 6:58:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:38:00 PM"
"84","BKG-00002157","208","157","73","63","6/17/2024 4:55:00 PM","6/17/2024 7:16:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:56:00 PM"
"85","BKG-00002167","218","167","76","67","6/17/2024 4:55:00 PM","6/17/2024 6:23:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:03:00 PM"
"86","BKG-00002204","255","204","93","82","6/17/2024 4:55:00 PM","6/17/2024 7:19:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:59:00 PM"
"87","BKG-00002207","258","207","95","83","6/17/2024 4:55:00 PM","6/17/2024 6:24:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:04:00 PM"
"88","BKG-00002212","263","212","97","85","6/17/2024 4:55:00 PM","6/17/2024 7:05:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:45:00 PM"
"89","BKG-00002227","278","227","100","91","6/17/2024 4:55:00 PM","6/17/2024 7:00:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:40:00 PM"
"90","BKG-00002232","283","232","96","93","6/17/2024 4:55:00 PM","6/17/2024 6:30:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:10:00 PM"
"91","BKG-00002242","293","242","94","97","6/17/2024 4:55:00 PM","6/17/2024 6:48:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:28:00 PM"
"92","BKG-00002244","295","244","92","98","6/17/2024 4:55:00 PM","6/17/2024 7:20:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 7:00:00 PM"
"93","BKG-00002259","310","259","90","104","6/17/2024 4:55:00 PM","6/17/2024 7:15:00 PM","Completed","6/17/2024 3:15:00 PM","6/17/2024 6:55:00 PM"
