"SessionEventID","SessionID","EventType","EventPayload","CreatedAt"
"1","1","Completed","Completed","6/16/2024 11:23:00 PM"
"2","2","Completed","Completed","6/16/2024 11:24:00 PM"
"3","3","Completed","Completed","6/17/2024 12:12:00 AM"
"4","4","Completed","Completed","6/17/2024 12:13:00 AM"
"5","5","Completed","Completed","6/16/2024 11:10:00 PM"
"6","6","Completed","Completed","6/16/2024 11:11:00 PM"
"7","7","Completed","Completed","6/16/2024 11:59:00 PM"
"8","8","Completed","Completed","6/17/2024 12:00:00 AM"
"9","9","Completed","Completed","6/17/2024 12:48:00 AM"
"10","10","Completed","Completed","6/17/2024 12:49:00 AM"
"11","11","Completed","Completed","6/16/2024 11:46:00 PM"
"12","12","Completed","Completed","6/16/2024 11:47:00 PM"
"13","13","Completed","Completed","6/17/2024 8:01:00 AM"
"14","14","Completed","Completed","6/17/2024 8:21:00 AM"
"15","15","Completed","Completed","6/17/2024 8:23:00 AM"
"16","16","Completed","Completed","6/17/2024 7:57:00 AM"
"17","17","Completed","Completed","6/17/2024 7:59:00 AM"
"18","18","Completed","Completed","6/17/2024 8:19:00 AM"
"19","19","Completed","Completed","6/17/2024 8:21:00 AM"
"20","20","Completed","Completed","6/17/2024 7:55:00 AM"
"21","21","Completed","Completed","6/17/2024 7:57:00 AM"
"22","22","Completed","Completed","6/17/2024 8:17:00 AM"
"23","23","Completed","Completed","6/17/2024 8:19:00 AM"
"24","24","Completed","Completed","6/17/2024 7:53:00 AM"
"25","25","Completed","Completed","6/17/2024 7:55:00 AM"
"26","26","Completed","Completed","6/17/2024 8:15:00 AM"
"27","27","Completed","Completed","6/17/2024 8:17:00 AM"
"28","28","Completed","Completed","6/17/2024 7:51:00 AM"
"29","29","Completed","Completed","6/17/2024 7:53:00 AM"
"30","30","Completed","Completed","6/17/2024 8:13:00 AM"
"31","31","Completed","Completed","6/17/2024 8:15:00 AM"
"32","32","Completed","Completed","6/17/2024 7:49:00 AM"
"33","33","Completed","Completed","6/17/2024 8:44:00 AM"
"34","34","Completed","Completed","6/17/2024 8:14:00 AM"
"35","35","Completed","Completed","6/17/2024 7:51:00 AM"
"36","36","Completed","Completed","6/17/2024 8:32:00 AM"
"37","37","Completed","Completed","6/17/2024 8:09:00 AM"
"38","38","Completed","Completed","6/17/2024 8:50:00 AM"
"39","39","Completed","Completed","6/17/2024 8:27:00 AM"
"40","40","Completed","Completed","6/17/2024 7:57:00 AM"
"41","41","Completed","Completed","6/17/2024 8:45:00 AM"
"42","42","Completed","Completed","6/17/2024 8:15:00 AM"
"43","43","Completed","Completed","6/17/2024 7:52:00 AM"
"44","44","Completed","Completed","6/17/2024 8:33:00 AM"
"45","45","Completed","Completed","6/17/2024 8:10:00 AM"
"46","46","Completed","Completed","6/17/2024 8:51:00 AM"
"47","47","Completed","Completed","6/17/2024 8:28:00 AM"
