"VehicleID","UserID","PlateNumber","Brand","Model","BatteryCapacityKWh","PreferredConnectorTypeID","IsActive","CreatedAt"
"1","52","30E-10001","VinFast","VF 8","82.00","3","True","12/5/2023 1:00:00 AM"
"2","53","43E-10002","VinFast","VF 9","92.00","1","True","12/6/2023 1:00:00 AM"
"3","54","61E-10003","Tesla","Model 3","75.00","1","True","12/7/2023 1:00:00 AM"
"4","55","15E-10004","Hyundai","Ioniq 5","72.60","1","True","12/8/2023 1:00:00 AM"
"5","56","60E-10005","Kia","EV6","77.40","1","True","12/9/2023 1:00:00 AM"
"6","57","65E-10006","BYD","Atto 3","60.50","1","True","12/10/2023 1:00:00 AM"
"7","58","72E-10007","MG","MG4 Electric","64.00","1","True","12/11/2023 1:00:00 AM"
"8","59","79E-10008","Porsche","Taycan","93.40","1","True","12/12/2023 1:00:00 AM"
"9","60","29E-10009","Volvo","XC40 Recharge","78.00","3","True","12/13/2023 1:00:00 AM"
"10","61","51E-10010","VinFast","VF e34","42.00","3","True","12/14/2023 1:00:00 AM"
"11","62","30E-10011","VinFast","VF 8","82.00","1","True","12/15/2023 1:00:00 AM"
"12","63","43E-10012","VinFast","VF 9","92.00","1","True","12/16/2023 1:00:00 AM"
"13","64","61E-10013","Tesla","Model 3","75.00","1","True","12/17/2023 1:00:00 AM"
"14","65","15E-10014","Hyundai","Ioniq 5","72.60","1","True","12/18/2023 1:00:00 AM"
"15","66","60E-10015","Kia","EV6","77.40","1","True","12/19/2023 1:00:00 AM"
"16","67","65E-10016","BYD","Atto 3","60.50","1","True","12/20/2023 1:00:00 AM"
"17","68","72E-10017","MG","MG4 Electric","64.00","1","True","12/21/2023 1:00:00 AM"
"18","69","79E-10018","Porsche","Taycan","93.40","3","True","12/22/2023 1:00:00 AM"
"19","70","29E-10019","Volvo","XC40 Recharge","78.00","3","True","12/23/2023 1:00:00 AM"
"20","71","51E-10020","VinFast","VF e34","42.00","1","True","12/24/2023 1:00:00 AM"
"21","72","30E-10021","VinFast","VF 8","82.00","1","True","12/25/2023 1:00:00 AM"
"22","73","43E-10022","VinFast","VF 9","92.00","1","True","12/26/2023 1:00:00 AM"
"23","74","61E-10023","Tesla","Model 3","75.00","1","True","12/27/2023 1:00:00 AM"
"24","75","15E-10024","Hyundai","Ioniq 5","72.60","1","True","12/28/2023 1:00:00 AM"
"25","76","60E-10025","Kia","EV6","77.40","1","True","12/29/2023 1:00:00 AM"
"26","77","65E-10026","BYD","Atto 3","60.50","1","True","12/30/2023 1:00:00 AM"
"27","78","72E-10027","MG","MG4 Electric","64.00","3","True","12/31/2023 1:00:00 AM"
"28","79","79E-10028","Porsche","Taycan","93.40","3","True","1/1/2024 1:00:00 AM"
"29","80","29E-10029","Volvo","XC40 Recharge","78.00","1","True","1/2/2024 1:00:00 AM"
"30","81","51E-10030","VinFast","VF e34","42.00","1","True","1/3/2024 1:00:00 AM"
"31","82","30E-10031","VinFast","VF 8","82.00","1","True","1/4/2024 1:00:00 AM"
"32","83","43E-10032","VinFast","VF 9","92.00","1","True","1/5/2024 1:00:00 AM"
"33","84","61E-10033","Tesla","Model 3","75.00","1","True","1/6/2024 1:00:00 AM"
