AuditID,SchemaName,TableName,RecordID,ActionType,OldValues,NewValues,ChangedBy,ChangedAt
1,"Franchise","RevenueShareSettlement","1","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.2848699"
2,"Franchise","RevenueShareSettlement","1","SETTLEMENT",,"66803481.0500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.2864334"
3,"Franchise","RevenueShareSettlement","2","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3081508"
4,"Franchise","RevenueShareSettlement","2","SETTLEMENT",,"214839204.3500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3081508"
5,"Franchise","RevenueShareSettlement","3","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3341340"
6,"Franchise","RevenueShareSettlement","3","SETTLEMENT",,"221439387.7000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3341340"
7,"Franchise","RevenueShareSettlement","4","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3401663"
8,"Franchise","RevenueShareSettlement","4","SETTLEMENT",,"49317418.5000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3401663"
9,"Franchise","RevenueShareSettlement","5","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3483999"
10,"Franchise","RevenueShareSettlement","5","SETTLEMENT",,"47631687.8000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3483999"
11,"Franchise","RevenueShareSettlement","6","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3529826"
12,"Franchise","RevenueShareSettlement","6","SETTLEMENT",,"42968458.0500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3539869"
13,"Franchise","RevenueShareSettlement","7","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3610408"
14,"Franchise","RevenueShareSettlement","7","SETTLEMENT",,"54061592.8500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3610408"
15,"Franchise","RevenueShareSettlement","8","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3691075"
16,"Franchise","RevenueShareSettlement","8","SETTLEMENT",,"87260619.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3701283"
17,"Franchise","RevenueShareSettlement","9","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3789207"
18,"Franchise","RevenueShareSettlement","9","SETTLEMENT",,"58388118.8000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3789207"
19,"Franchise","RevenueShareSettlement","10","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3924684"
20,"Franchise","RevenueShareSettlement","10","SETTLEMENT",,"91637717.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3924684"
21,"Franchise","RevenueShareSettlement","11","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.3996326"
22,"Franchise","RevenueShareSettlement","11","SETTLEMENT",,"57395103.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4006291"
23,"Franchise","RevenueShareSettlement","12","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4067473"
24,"Franchise","RevenueShareSettlement","12","SETTLEMENT",,"74308363.5000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4067473"
25,"Franchise","RevenueShareSettlement","13","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4127381"
26,"Franchise","RevenueShareSettlement","13","SETTLEMENT",,"77133917.3000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4127381"
27,"Franchise","RevenueShareSettlement","14","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4167461"
28,"Franchise","RevenueShareSettlement","14","SETTLEMENT",,"76714413.7500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4167461"
29,"Franchise","RevenueShareSettlement","15","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4252761"
30,"Franchise","RevenueShareSettlement","15","SETTLEMENT",,"103346217.5000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4252761"
31,"Franchise","RevenueShareSettlement","16","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4308019"
32,"Franchise","RevenueShareSettlement","16","SETTLEMENT",,"66860206.4500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4308019"
33,"Franchise","RevenueShareSettlement","17","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4479446"
34,"Franchise","RevenueShareSettlement","17","SETTLEMENT",,"214354000.6500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4484574"
35,"Franchise","RevenueShareSettlement","18","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4681475"
36,"Franchise","RevenueShareSettlement","18","SETTLEMENT",,"223110383.9000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4681475"
37,"Franchise","RevenueShareSettlement","19","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4736746"
38,"Franchise","RevenueShareSettlement","19","SETTLEMENT",,"48994001.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4736746"
39,"Franchise","RevenueShareSettlement","20","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4802375"
40,"Franchise","RevenueShareSettlement","20","SETTLEMENT",,"47618817.3500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4812372"
41,"Franchise","RevenueShareSettlement","21","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4847535"
42,"Franchise","RevenueShareSettlement","21","SETTLEMENT",,"43174610.2500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4847535"
43,"Franchise","RevenueShareSettlement","22","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4895060"
44,"Franchise","RevenueShareSettlement","22","SETTLEMENT",,"54063201.3000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4905129"
45,"Franchise","RevenueShareSettlement","23","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4950375"
46,"Franchise","RevenueShareSettlement","23","SETTLEMENT",,"87152614.2500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4950375"
47,"Franchise","RevenueShareSettlement","24","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.4998756"
48,"Franchise","RevenueShareSettlement","24","SETTLEMENT",,"58631523.7000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5008749"
49,"Franchise","RevenueShareSettlement","25","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5064547"
50,"Franchise","RevenueShareSettlement","25","SETTLEMENT",,"91660512.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5064547"
51,"Franchise","RevenueShareSettlement","26","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5114689"
52,"Franchise","RevenueShareSettlement","26","SETTLEMENT",,"57528044.3000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5114689"
53,"Franchise","RevenueShareSettlement","27","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5170074"
54,"Franchise","RevenueShareSettlement","27","SETTLEMENT",,"74053138.5000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5170074"
55,"Franchise","RevenueShareSettlement","28","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5226974"
56,"Franchise","RevenueShareSettlement","28","SETTLEMENT",,"77764672.8000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5226974"
57,"Franchise","RevenueShareSettlement","29","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5268551"
58,"Franchise","RevenueShareSettlement","29","SETTLEMENT",,"76226944.5000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5268551"
59,"Franchise","RevenueShareSettlement","30","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5386318"
60,"Franchise","RevenueShareSettlement","30","SETTLEMENT",,"102348180.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5386318"
61,"Franchise","RevenueShareSettlement","31","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5463500"
62,"Franchise","RevenueShareSettlement","31","SETTLEMENT",,"66710203.8000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5463500"
63,"Franchise","RevenueShareSettlement","32","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5634962"
64,"Franchise","RevenueShareSettlement","32","SETTLEMENT",,"214436817.5000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5634962"
65,"Franchise","RevenueShareSettlement","33","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5777234"
66,"Franchise","RevenueShareSettlement","33","SETTLEMENT",,"222641510.4500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5777234"
67,"Franchise","RevenueShareSettlement","34","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5817198"
68,"Franchise","RevenueShareSettlement","34","SETTLEMENT",,"49116565.8000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5817198"
69,"Franchise","RevenueShareSettlement","35","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5852569"
70,"Franchise","RevenueShareSettlement","35","SETTLEMENT",,"47339206.3000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5852569"
71,"Franchise","RevenueShareSettlement","36","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5897883"
72,"Franchise","RevenueShareSettlement","36","SETTLEMENT",,"43236129.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5897883"
73,"Franchise","RevenueShareSettlement","37","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5949973"
74,"Franchise","RevenueShareSettlement","37","SETTLEMENT",,"54019563.7500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5959987"
75,"Franchise","RevenueShareSettlement","38","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5999969"
76,"Franchise","RevenueShareSettlement","38","SETTLEMENT",,"87721028.2500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.5999969"
77,"Franchise","RevenueShareSettlement","39","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6039917"
78,"Franchise","RevenueShareSettlement","39","SETTLEMENT",,"58862595.1000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6045020"
79,"Franchise","RevenueShareSettlement","40","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6085326"
80,"Franchise","RevenueShareSettlement","40","SETTLEMENT",,"92133030.7500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6095562"
81,"Franchise","RevenueShareSettlement","41","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6152170"
82,"Franchise","RevenueShareSettlement","41","SETTLEMENT",,"57824451.1000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6152170"
83,"Franchise","RevenueShareSettlement","42","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6209214"
84,"Franchise","RevenueShareSettlement","42","SETTLEMENT",,"74382238.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6219188"
85,"Franchise","RevenueShareSettlement","43","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6274301"
86,"Franchise","RevenueShareSettlement","43","SETTLEMENT",,"77619482.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6274301"
87,"Franchise","RevenueShareSettlement","44","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6309554"
88,"Franchise","RevenueShareSettlement","44","SETTLEMENT",,"76062503.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6309554"
89,"Franchise","RevenueShareSettlement","45","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6401122"
90,"Franchise","RevenueShareSettlement","45","SETTLEMENT",,"102482160.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6401122"
91,"Franchise","RevenueShareSettlement","46","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6471609"
92,"Franchise","RevenueShareSettlement","46","SETTLEMENT",,"66145635.5500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6471609"
93,"Franchise","RevenueShareSettlement","47","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6631593"
94,"Franchise","RevenueShareSettlement","47","SETTLEMENT",,"214651526.1000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6631593"
95,"Franchise","RevenueShareSettlement","48","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6792683"
96,"Franchise","RevenueShareSettlement","48","SETTLEMENT",,"223376980.7500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6792683"
97,"Franchise","RevenueShareSettlement","49","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6833967"
98,"Franchise","RevenueShareSettlement","49","SETTLEMENT",,"49086186.5500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6833967"
99,"Franchise","RevenueShareSettlement","50","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6874096"
100,"Franchise","RevenueShareSettlement","50","SETTLEMENT",,"47778653.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6874096"
101,"Franchise","RevenueShareSettlement","51","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6914154"
102,"Franchise","RevenueShareSettlement","51","SETTLEMENT",,"42929696.0500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6914154"
103,"Franchise","RevenueShareSettlement","52","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6979789"
104,"Franchise","RevenueShareSettlement","52","SETTLEMENT",,"53422258.5500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.6979789"
105,"Franchise","RevenueShareSettlement","53","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7045149"
106,"Franchise","RevenueShareSettlement","53","SETTLEMENT",,"87667383.7500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7045149"
107,"Franchise","RevenueShareSettlement","54","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7120343"
108,"Franchise","RevenueShareSettlement","54","SETTLEMENT",,"58522749.6000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7120343"
109,"Franchise","RevenueShareSettlement","55","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7200854"
110,"Franchise","RevenueShareSettlement","55","SETTLEMENT",,"91612582.7500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7211028"
111,"Franchise","RevenueShareSettlement","56","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7280813"
112,"Franchise","RevenueShareSettlement","56","SETTLEMENT",,"57488841.5000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7290957"
113,"Franchise","RevenueShareSettlement","57","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7329377"
114,"Franchise","RevenueShareSettlement","57","SETTLEMENT",,"74046432.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7329377"
115,"Franchise","RevenueShareSettlement","58","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7405769"
116,"Franchise","RevenueShareSettlement","58","SETTLEMENT",,"77469332.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7405769"
117,"Franchise","RevenueShareSettlement","59","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7472697"
118,"Franchise","RevenueShareSettlement","59","SETTLEMENT",,"76463700.2500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7477820"
119,"Franchise","RevenueShareSettlement","60","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7550276"
120,"Franchise","RevenueShareSettlement","60","SETTLEMENT",,"103041552.5000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7550276"
121,"Franchise","RevenueShareSettlement","61","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7613839"
122,"Franchise","RevenueShareSettlement","61","SETTLEMENT",,"66972295.5000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7613839"
123,"Franchise","RevenueShareSettlement","62","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7885119"
124,"Franchise","RevenueShareSettlement","62","SETTLEMENT",,"214802661.6500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.7885119"
125,"Franchise","RevenueShareSettlement","63","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8070197"
126,"Franchise","RevenueShareSettlement","63","SETTLEMENT",,"222639359.8000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8080201"
127,"Franchise","RevenueShareSettlement","64","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8120640"
128,"Franchise","RevenueShareSettlement","64","SETTLEMENT",,"49295189.2000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8120640"
129,"Franchise","RevenueShareSettlement","65","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8168089"
130,"Franchise","RevenueShareSettlement","65","SETTLEMENT",,"47470822.3000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8180399"
131,"Franchise","RevenueShareSettlement","66","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8217578"
132,"Franchise","RevenueShareSettlement","66","SETTLEMENT",,"42962604.0500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8217578"
133,"Franchise","RevenueShareSettlement","67","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8278454"
134,"Franchise","RevenueShareSettlement","67","SETTLEMENT",,"53958862.1000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8283582"
135,"Franchise","RevenueShareSettlement","68","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8344431"
136,"Franchise","RevenueShareSettlement","68","SETTLEMENT",,"86772276.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8354479"
137,"Franchise","RevenueShareSettlement","69","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8417571"
138,"Franchise","RevenueShareSettlement","69","SETTLEMENT",,"57907789.5000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8427570"
139,"Franchise","RevenueShareSettlement","70","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8491470"
140,"Franchise","RevenueShareSettlement","70","SETTLEMENT",,"91743039.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8501624"
141,"Franchise","RevenueShareSettlement","71","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8556807"
142,"Franchise","RevenueShareSettlement","71","SETTLEMENT",,"57429581.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8556807"
143,"Franchise","RevenueShareSettlement","72","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8602923"
144,"Franchise","RevenueShareSettlement","72","SETTLEMENT",,"74532304.7500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8602923"
145,"Franchise","RevenueShareSettlement","73","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8672326"
146,"Franchise","RevenueShareSettlement","73","SETTLEMENT",,"77622219.8000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8683064"
147,"Franchise","RevenueShareSettlement","74","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8724180"
148,"Franchise","RevenueShareSettlement","74","SETTLEMENT",,"76572192.5000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8739367"
149,"Franchise","RevenueShareSettlement","75","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8827027"
150,"Franchise","RevenueShareSettlement","75","SETTLEMENT",,"103259155.0000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8827027"
151,"Franchise","RevenueShareSettlement","76","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8873330"
152,"Franchise","RevenueShareSettlement","76","SETTLEMENT",,"66872389.5000","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.8873330"
153,"Franchise","RevenueShareSettlement","77","INSERT",,"Approved","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.9076990"
154,"Franchise","RevenueShareSettlement","77","SETTLEMENT",,"214818477.0500","MicrosoftAccount\hocvienbimat@gmail.com","2026-06-01T22:28:56.9087875"
