ContractID,FranchiseID,ContractCode,StartDate,EndDate,BaseRevenueShareRate,ContractStatus,SignedAt,CreatedAt
1,1,"FC-FRC01-2024","2024-06-01T00:00:00.0000000","2027-06-01T00:00:00.0000000",59.00,"Active","2026-06-01T22:27:39.5786092","2026-06-01T22:27:39.5786092"
2,2,"FC-FRC02-2024","2024-06-01T00:00:00.0000000","2027-06-01T00:00:00.0000000",60.00,"Active","2026-06-01T22:27:39.5786092","2026-06-01T22:27:39.5786092"
3,3,"FC-FRC03-2024","2024-06-01T00:00:00.0000000","2027-06-01T00:00:00.0000000",61.00,"Active","2026-06-01T22:27:39.5786092","2026-06-01T22:27:39.5786092"
4,4,"FC-FRC04-2024","2024-06-01T00:00:00.0000000","2027-06-01T00:00:00.0000000",62.00,"Active","2026-06-01T22:27:39.5786092","2026-06-01T22:27:39.5786092"
5,5,"FC-FRC05-2024","2024-06-01T00:00:00.0000000","2027-06-01T00:00:00.0000000",63.00,"Active","2026-06-01T22:27:39.5786092","2026-06-01T22:27:39.5786092"
6,6,"FC-FRC06-2024","2024-06-01T00:00:00.0000000","2027-06-01T00:00:00.0000000",64.00,"Active","2026-06-01T22:27:39.5786092","2026-06-01T22:27:39.5786092"
7,7,"FC-FRC07-2024","2024-06-01T00:00:00.0000000","2027-06-01T00:00:00.0000000",65.00,"Active","2026-06-01T22:27:39.5786092","2026-06-01T22:27:39.5786092"
8,8,"FC-FRC08-2024","2024-06-01T00:00:00.0000000","2027-06-01T00:00:00.0000000",66.00,"Active","2026-06-01T22:27:39.5786092","2026-06-01T22:27:39.5786092"
9,9,"FC-FRC09-2024","2024-06-01T00:00:00.0000000","2027-06-01T00:00:00.0000000",67.00,"Active","2026-06-01T22:27:39.5786092","2026-06-01T22:27:39.5786092"
10,10,"FC-FRC10-2024","2024-06-01T00:00:00.0000000","2027-06-01T00:00:00.0000000",58.00,"Active","2026-06-01T22:27:39.5786092","2026-06-01T22:27:39.5786092"
11,11,"FC-FRC11-2024","2024-06-01T00:00:00.0000000","2027-06-01T00:00:00.0000000",59.00,"Active","2026-06-01T22:27:39.5786092","2026-06-01T22:27:39.5786092"
12,12,"FC-FRC12-2024","2024-06-01T00:00:00.0000000","2027-06-01T00:00:00.0000000",60.00,"Active","2026-06-01T22:27:39.5786092","2026-06-01T22:27:39.5786092"
13,13,"FC-FRC13-2024","2024-06-01T00:00:00.0000000","2027-06-01T00:00:00.0000000",61.00,"Active","2026-06-01T22:27:39.5786092","2026-06-01T22:27:39.5786092"
14,14,"FC-FRC14-2024","2024-06-01T00:00:00.0000000","2027-06-01T00:00:00.0000000",62.00,"Active","2026-06-01T22:27:39.5786092","2026-06-01T22:27:39.5786092"
15,15,"FC-FRC15-2024","2024-06-01T00:00:00.0000000","2027-06-01T00:00:00.0000000",63.00,"Active","2026-06-01T22:27:39.5786092","2026-06-01T22:27:39.5786092"
