FranchiseID,StationID,ContractID,AssignedAt
1,3,1,"2026-06-01T22:27:39.7455460"
1,8,1,"2026-06-01T22:27:39.7455460"
1,17,1,"2026-06-01T22:27:39.7455460"
1,28,1,"2026-06-01T22:27:39.7455460"
1,38,1,"2026-06-01T22:27:39.7455460"
1,48,1,"2026-06-01T22:27:39.7455460"
1,49,1,"2026-06-01T22:27:39.7455460"
1,53,1,"2026-06-01T22:27:39.7455460"
1,54,1,"2026-06-01T22:27:39.7455460"
1,59,1,"2026-06-01T22:27:39.7455460"
1,68,1,"2026-06-01T22:27:39.7455460"
1,74,1,"2026-06-01T22:27:39.7455460"
1,80,1,"2026-06-01T22:27:39.7455460"
1,89,1,"2026-06-01T22:27:39.7455460"
1,98,1,"2026-06-01T22:27:39.7455460"
1,99,1,"2026-06-01T22:27:39.7455460"
2,1,2,"2026-06-01T22:27:39.7455460"
2,2,2,"2026-06-01T22:27:39.7455460"
2,7,2,"2026-06-01T22:27:39.7455460"
2,11,2,"2026-06-01T22:27:39.7455460"
2,21,2,"2026-06-01T22:27:39.7455460"
2,31,2,"2026-06-01T22:27:39.7455460"
2,34,2,"2026-06-01T22:27:39.7455460"
2,42,2,"2026-06-01T22:27:39.7455460"
2,51,2,"2026-06-01T22:27:39.7455460"
2,52,2,"2026-06-01T22:27:39.7455460"
2,57,2,"2026-06-01T22:27:39.7455460"
2,62,2,"2026-06-01T22:27:39.7455460"
2,66,2,"2026-06-01T22:27:39.7455460"
2,72,2,"2026-06-01T22:27:39.7455460"
2,83,2,"2026-06-01T22:27:39.7455460"
2,92,2,"2026-06-01T22:27:39.7455460"
3,4,3,"2026-06-01T22:27:39.7455460"
3,5,3,"2026-06-01T22:27:39.7455460"
3,10,3,"2026-06-01T22:27:39.7455460"
3,14,3,"2026-06-01T22:27:39.7455460"
3,19,3,"2026-06-01T22:27:39.7455460"
3,25,3,"2026-06-01T22:27:39.7455460"
3,35,3,"2026-06-01T22:27:39.7455460"
3,45,3,"2026-06-01T22:27:39.7455460"
3,55,3,"2026-06-01T22:27:39.7455460"
3,56,3,"2026-06-01T22:27:39.7455460"
3,61,3,"2026-06-01T22:27:39.7455460"
3,64,3,"2026-06-01T22:27:39.7455460"
3,70,3,"2026-06-01T22:27:39.7455460"
3,76,3,"2026-06-01T22:27:39.7455460"
3,86,3,"2026-06-01T22:27:39.7455460"
3,95,3,"2026-06-01T22:27:39.7455460"
4,6,4,"2026-06-01T22:27:39.7455460"
4,9,4,"2026-06-01T22:27:39.7455460"
4,13,4,"2026-06-01T22:27:39.7455460"
4,60,4,"2026-06-01T22:27:39.7455460"
5,12,5,"2026-06-01T22:27:39.7455460"
5,16,5,"2026-06-01T22:27:39.7455460"
5,40,5,"2026-06-01T22:27:39.7455460"
5,63,5,"2026-06-01T22:27:39.7455460"
6,15,6,"2026-06-01T22:27:39.7455460"
6,20,6,"2026-06-01T22:27:39.7455460"
6,24,6,"2026-06-01T22:27:39.7455460"
6,65,6,"2026-06-01T22:27:39.7455460"
7,18,7,"2026-06-01T22:27:39.7455460"
7,23,7,"2026-06-01T22:27:39.7455460"
7,58,7,"2026-06-01T22:27:39.7455460"
7,69,7,"2026-06-01T22:27:39.7455460"
8,22,8,"2026-06-01T22:27:39.7455460"
8,27,8,"2026-06-01T22:27:39.7455460"
8,67,8,"2026-06-01T22:27:39.7455460"
8,73,8,"2026-06-01T22:27:39.7455460"
8,78,8,"2026-06-01T22:27:39.7455460"
9,26,9,"2026-06-01T22:27:39.7455460"
9,30,9,"2026-06-01T22:27:39.7455460"
9,71,9,"2026-06-01T22:27:39.7455460"
9,77,9,"2026-06-01T22:27:39.7455460"
9,82,9,"2026-06-01T22:27:39.7455460"
10,29,10,"2026-06-01T22:27:39.7455460"
10,33,10,"2026-06-01T22:27:39.7455460"
10,75,10,"2026-06-01T22:27:39.7455460"
10,81,10,"2026-06-01T22:27:39.7455460"
10,85,10,"2026-06-01T22:27:39.7455460"
11,32,11,"2026-06-01T22:27:39.7455460"
11,37,11,"2026-06-01T22:27:39.7455460"
11,79,11,"2026-06-01T22:27:39.7455460"
11,84,11,"2026-06-01T22:27:39.7455460"
11,88,11,"2026-06-01T22:27:39.7455460"
12,36,12,"2026-06-01T22:27:39.7455460"
12,41,12,"2026-06-01T22:27:39.7455460"
12,87,12,"2026-06-01T22:27:39.7455460"
12,91,12,"2026-06-01T22:27:39.7455460"
13,39,13,"2026-06-01T22:27:39.7455460"
13,44,13,"2026-06-01T22:27:39.7455460"
13,90,13,"2026-06-01T22:27:39.7455460"
13,94,13,"2026-06-01T22:27:39.7455460"
14,43,14,"2026-06-01T22:27:39.7455460"
14,47,14,"2026-06-01T22:27:39.7455460"
14,93,14,"2026-06-01T22:27:39.7455460"
14,97,14,"2026-06-01T22:27:39.7455460"
15,46,15,"2026-06-01T22:27:39.7455460"
15,50,15,"2026-06-01T22:27:39.7455460"
15,96,15,"2026-06-01T22:27:39.7455460"
15,100,15,"2026-06-01T22:27:39.7455460"
