RevenueSharePolicyID,ContractID,PolicyCode,PartnerShareRate,AppliedFrom,AppliedTo,IsActive
1,1,"RSP-FC-FRC01-2024",59.00,"2024-06-01T00:00:00.0000000",,1
2,2,"RSP-FC-FRC02-2024",60.00,"2024-06-01T00:00:00.0000000",,1
3,3,"RSP-FC-FRC03-2024",61.00,"2024-06-01T00:00:00.0000000",,1
4,4,"RSP-FC-FRC04-2024",62.00,"2024-06-01T00:00:00.0000000",,1
5,5,"RSP-FC-FRC05-2024",63.00,"2024-06-01T00:00:00.0000000",,1
6,6,"RSP-FC-FRC06-2024",64.00,"2024-06-01T00:00:00.0000000",,1
7,7,"RSP-FC-FRC07-2024",65.00,"2024-06-01T00:00:00.0000000",,1
8,8,"RSP-FC-FRC08-2024",66.00,"2024-06-01T00:00:00.0000000",,1
9,9,"RSP-FC-FRC09-2024",67.00,"2024-06-01T00:00:00.0000000",,1
10,10,"RSP-FC-FRC10-2024",58.00,"2024-06-01T00:00:00.0000000",,1
11,11,"RSP-FC-FRC11-2024",59.00,"2024-06-01T00:00:00.0000000",,1
12,12,"RSP-FC-FRC12-2024",60.00,"2024-06-01T00:00:00.0000000",,1
13,13,"RSP-FC-FRC13-2024",61.00,"2024-06-01T00:00:00.0000000",,1
14,14,"RSP-FC-FRC14-2024",62.00,"2024-06-01T00:00:00.0000000",,1
15,15,"RSP-FC-FRC15-2024",63.00,"2024-06-01T00:00:00.0000000",,1
