PointID,PointCode,StationID,ConnectorTypeID,PowerKW,SerialNumber,PointStatus,HealthStatus,CreatedAt,UpdatedAt
1,"ST-013-P01",1,1,150.00,"SN-ST-013-P01","Available","Normal","2026-06-01T22:27:39.7909872","2026-06-02T16:51:40.7177642"
2,"ST-013-P02",1,2,60.00,"SN-ST-013-P02","Available","Normal","2026-06-01T22:27:39.7909872",
3,"ST-045-P01",3,4,120.00,"SN-ST-045-P01","Available","Normal","2026-06-01T22:27:39.7909872",
4,"ST-045-P02",3,3,22.00,"SN-ST-045-P02","Available","Normal","2026-06-01T22:27:39.7909872",
5,"ST-077-P01",5,1,120.00,"SN-ST-077-P01","Available","Normal","2026-06-01T22:27:39.7909872",
6,"ST-077-P02",5,1,120.00,"SN-ST-077-P02","Available","Normal","2026-06-01T22:27:39.7909872",
7,"ST-063-P01",6,1,120.00,"SN-ST-063-P01","Available","Normal","2026-06-01T22:27:39.7909872",
8,"ST-063-P02",6,2,60.00,"SN-ST-063-P02","Available","Normal","2026-06-01T22:27:39.7909872",
9,"ST-047-P01",10,1,120.00,"SN-ST-047-P01","Available","Normal","2026-06-01T22:27:39.7909872",
10,"ST-047-P02",10,1,120.00,"SN-ST-047-P02","Available","Normal","2026-06-01T22:27:39.7909872",
11,"ST-079-P01",12,2,60.00,"SN-ST-079-P01","Available","Normal","2026-06-01T22:27:39.7909872",
12,"ST-079-P02",12,4,120.00,"SN-ST-079-P02","Available","Normal","2026-06-01T22:27:39.7909872",
13,"ST-017-P01",14,3,22.00,"SN-ST-017-P01","Available","Normal","2026-06-01T22:27:39.7909872",
14,"ST-017-P02",14,1,150.00,"SN-ST-017-P02","Available","Normal","2026-06-01T22:27:39.7909872",
15,"ST-049-P01",16,1,120.00,"SN-ST-049-P01","Maintenance","Warning","2026-06-01T22:27:39.7909872",
16,"ST-049-P02",16,2,60.00,"SN-ST-049-P02","Available","Normal","2026-06-01T22:27:39.7909872",
17,"ST-081-P01",18,4,120.00,"SN-ST-081-P01","Available","Normal","2026-06-01T22:27:39.7909872",
18,"ST-081-P02",18,3,22.00,"SN-ST-081-P02","Available","Normal","2026-06-01T22:27:39.7909872",
19,"ST-019-P01",21,1,150.00,"SN-ST-019-P01","Available","Normal","2026-06-01T22:27:39.7909872",
