StationID,StationCode,StationName,FranchiseID,AddressID,SupplierID,StationOperatorID,ModelName,Manufacturer,MaxPowerKW,StationStatus,OpenedAt,CreatedAt,UpdatedAt
1,"ST-013","Trạm sạc Dien Bien Phu Da Nang",2,44,3,21,"VinFast DC 150","VinFast",180.00,"Active","2024-04-19T00:00:00.0000000","2026-06-01T22:27:39.6971157","2026-06-02T16:03:06.0073856"
2,"ST-076","Trạm sạc Me Linh Vinh Phuc",2,113,19,28,"VinFast DC 150","VinFast",150.00,"Active","2024-02-16T00:00:00.0000000","2026-06-01T22:27:39.6971157",
3,"ST-045","Trạm sạc Ba Cu Ba Ria - Vung Tau",1,30,8,25,"ABB Terra 184","ABB",120.00,"Active","2024-03-18T00:00:00.0000000","2026-06-01T22:27:39.6971157",
4,"ST-014","Trạm sạc Nguyen Van Linh Da Nang",3,45,3,22,"Siemens Sicharge","Siemens",150.00,"Active","2024-04-18T00:00:00.0000000","2026-06-01T22:27:39.6971157",
5,"ST-077","Trạm sạc Me Linh Vinh Phuc",3,114,19,29,"Siemens Sicharge","Siemens",120.00,"Active","2024-02-15T00:00:00.0000000","2026-06-01T22:27:39.6971157",
6,"ST-063","Trạm sạc Le Duan Nghe An",4,92,12,15,"ABB Terra 184","ABB",120.00,"Active","2024-02-29T00:00:00.0000000","2026-06-01T22:27:39.6971157",
7,"ST-046","Trạm sạc Nguyen Luong Bang Hai Duong",2,59,16,26,"VinFast DC 150","VinFast",150.00,"Active","2024-03-17T00:00:00.0000000","2026-06-01T22:27:39.6971157",
8,"ST-015","Trạm sạc Vo Nguyen Giap Da Nang",1,46,3,23,"ABB Terra 184","ABB",300.00,"Active","2024-04-17T00:00:00.0000000","2026-06-01T22:27:39.6971157",
9,"ST-078","Trạm sạc Me Linh Vinh Phuc",4,115,19,30,"ABB Terra 184","ABB",150.00,"Active","2024-02-14T00:00:00.0000000","2026-06-01T22:27:39.6971157",
10,"ST-047","Trạm sạc Nguyen Luong Bang Hai Duong",3,60,16,27,"Siemens Sicharge","Siemens",120.00,"Active","2024-03-16T00:00:00.0000000","2026-06-01T22:27:39.6971157",
11,"ST-016","Trạm sạc Dien Bien Phu Da Nang",2,47,3,24,"VinFast DC 150","VinFast",180.00,"Active","2024-04-16T00:00:00.0000000","2026-06-01T22:27:39.6971157",
12,"ST-079","Trạm sạc Hoang Van Thu Bac Giang",5,23,32,31,"VinFast DC 150","VinFast",120.00,"Active","2024-02-13T00:00:00.0000000","2026-06-01T22:27:39.6971157",
13,"ST-048","Trạm sạc Nguyen Luong Bang Hai Duong",4,61,16,28,"ABB Terra 184","ABB",150.00,"Active","2024-03-15T00:00:00.0000000","2026-06-01T22:27:39.6971157",
14,"ST-017","Trạm sạc Nguyen Van Linh Da Nang",3,48,3,25,"Siemens Sicharge","Siemens",150.00,"Active","2024-04-15T00:00:00.0000000","2026-06-01T22:27:39.6971157",
15,"ST-080","Trạm sạc Ton Duc Thang Binh Thuan",6,31,24,32,"Siemens Sicharge","Siemens",120.00,"Active","2024-02-12T00:00:00.0000000","2026-06-01T22:27:39.6971157",
