ErrorID,ErrorCode,StationID,PointID,Severity,Description,OccurredAt,ResolvedAt,ResolvedBy,IsActive
1,"ERR-00001",1,2,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-06-12T22:27:39.3645313","2024-06-13T03:27:39.3645313",9,0
2,"ERR-00002",3,3,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-06-23T22:27:39.3645313","2024-06-24T04:27:39.3645313",10,0
3,"ERR-00003",3,4,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2024-07-04T22:27:39.3645313","2024-07-05T05:27:39.3645313",11,0
4,"ERR-00004",5,5,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-07-15T22:27:39.3645313","2024-07-16T06:27:39.3645313",12,0
5,"ERR-00005",5,6,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-07-26T22:27:39.3645313","2024-07-27T07:27:39.3645313",13,0
6,"ERR-00006",6,7,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2024-08-06T22:27:39.3645313","2024-08-07T08:27:39.3645313",14,0
7,"ERR-00007",6,8,"High","Mat ket noi voi bo dieu khien cong sac","2024-08-17T22:27:39.3645313","2024-08-18T09:27:39.3645313",15,0
8,"ERR-00008",10,9,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-08-28T22:27:39.3645313","2024-08-29T10:27:39.3645313",16,0
9,"ERR-00009",10,10,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2024-09-08T22:27:39.3645313",,,1
10,"ERR-00010",12,11,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-09-19T22:27:39.3645313","2024-09-20T12:27:39.3645313",18,0
11,"ERR-00011",12,12,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-09-30T22:27:39.3645313","2024-10-01T13:27:39.3645313",19,0
12,"ERR-00012",14,13,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2024-10-11T22:27:39.3645313","2024-10-12T14:27:39.3645313",20,0
13,"ERR-00013",14,14,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-10-22T22:27:39.3645313","2024-10-23T15:27:39.3645313",21,0
14,"ERR-00014",16,15,"High","Mat ket noi voi bo dieu khien cong sac","2024-11-02T22:27:39.3645313","2024-11-03T16:27:39.3645313",22,0
15,"ERR-00015",16,16,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2024-11-13T22:27:39.3645313","2024-11-14T17:27:39.3645313",23,0
16,"ERR-00016",18,17,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-11-24T22:27:39.3645313","2024-11-25T18:27:39.3645313",24,0
17,"ERR-00017",18,18,"Critical","Nhiet do dau sac vuot nguong, tam dung phien sac de kiem tra","2024-12-05T22:27:39.3645313","2024-12-06T19:27:39.3645313",25,0
18,"ERR-00018",21,19,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2024-12-16T22:27:39.3645313",,,1
19,"ERR-00019",21,20,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-12-27T22:27:39.3645313","2024-12-28T21:27:39.3645313",27,0
20,"ERR-00020",23,21,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-01-07T22:27:39.3645313","2025-01-08T22:27:39.3645313",28,0
21,"ERR-00021",23,22,"High","Mat ket noi voi bo dieu khien cong sac","2025-01-18T22:27:39.3645313","2025-01-19T23:27:39.3645313",29,0
22,"ERR-00022",24,23,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-01-29T22:27:39.3645313","2025-01-31T00:27:39.3645313",30,0
23,"ERR-00023",24,24,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-02-09T22:27:39.3645313","2025-02-11T01:27:39.3645313",31,0
24,"ERR-00024",26,25,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-02-20T22:27:39.3645313","2025-02-22T02:27:39.3645313",32,0
25,"ERR-00025",26,26,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-03-03T22:27:39.3645313","2025-03-05T03:27:39.3645313",33,0
26,"ERR-00026",30,27,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-03-14T22:27:39.3645313","2025-03-16T04:27:39.3645313",34,0
27,"ERR-00027",30,28,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-03-25T22:27:39.3645313",,,1
28,"ERR-00028",32,29,"High","Mat ket noi voi bo dieu khien cong sac","2025-04-05T22:27:39.3645313","2025-04-07T06:27:39.3645313",36,0
29,"ERR-00029",32,30,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-04-16T22:27:39.3645313","2025-04-18T07:27:39.3645313",9,0
30,"ERR-00030",34,31,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-04-27T22:27:39.3645313","2025-04-29T08:27:39.3645313",10,0
31,"ERR-00031",34,32,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-05-08T22:27:39.3645313","2025-05-10T09:27:39.3645313",11,0
32,"ERR-00032",35,33,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-05-19T22:27:39.3645313","2025-05-21T10:27:39.3645313",12,0
33,"ERR-00033",35,34,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-05-30T22:27:39.3645313","2025-06-01T11:27:39.3645313",13,0
34,"ERR-00034",37,35,"Critical","Nhiet do dau sac vuot nguong, tam dung phien sac de kiem tra","2025-06-10T22:27:39.3645313","2025-06-12T12:27:39.3645313",14,0
35,"ERR-00035",37,36,"High","Mat ket noi voi bo dieu khien cong sac","2025-06-21T22:27:39.3645313","2025-06-23T13:27:39.3645313",15,0
36,"ERR-00036",39,37,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-07-02T22:27:39.3645313",,,1
37,"ERR-00037",39,38,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-07-13T22:27:39.3645313","2025-07-15T15:27:39.3645313",17,0
38,"ERR-00038",42,39,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-07-24T22:27:39.3645313","2025-07-26T16:27:39.3645313",18,0
39,"ERR-00039",42,40,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-08-04T22:27:39.3645313","2025-08-06T17:27:39.3645313",19,0
40,"ERR-00040",44,41,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-08-15T22:27:39.3645313","2025-08-17T18:27:39.3645313",20,0
41,"ERR-00041",44,42,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-08-26T22:27:39.3645313","2025-08-28T19:27:39.3645313",21,0
42,"ERR-00042",46,43,"High","Mat ket noi voi bo dieu khien cong sac","2025-09-06T22:27:39.3645313","2025-09-08T20:27:39.3645313",22,0
43,"ERR-00043",46,44,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-09-17T22:27:39.3645313","2025-09-19T21:27:39.3645313",23,0
44,"ERR-00044",50,45,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-09-28T22:27:39.3645313","2025-09-30T22:27:39.3645313",24,0
45,"ERR-00045",50,46,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-10-09T22:27:39.3645313",,,1
46,"ERR-00046",52,47,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-10-20T22:27:39.3645313","2025-10-23T00:27:39.3645313",26,0
47,"ERR-00047",52,48,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-10-31T22:27:39.3645313","2025-11-03T01:27:39.3645313",27,0
48,"ERR-00048",55,49,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-11-11T22:27:39.3645313","2025-11-12T02:27:39.3645313",28,0
49,"ERR-00049",55,50,"High","Mat ket noi voi bo dieu khien cong sac","2025-11-22T22:27:39.3645313","2025-11-23T03:27:39.3645313",29,0
50,"ERR-00050",57,51,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-12-03T22:27:39.3645313","2025-12-04T04:27:39.3645313",30,0
51,"ERR-00051",57,52,"Critical","Nhiet do dau sac vuot nguong, tam dung phien sac de kiem tra","2025-12-14T22:27:39.3645313","2025-12-15T05:27:39.3645313",31,0
52,"ERR-00052",60,53,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-12-25T22:27:39.3645313","2025-12-26T06:27:39.3645313",32,0
53,"ERR-00053",60,54,"Low","Can hieu chuan lai cam bien trang thai dau sac","2026-01-05T22:27:39.3645313","2026-01-06T07:27:39.3645313",33,0
54,"ERR-00054",62,55,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2026-01-16T22:27:39.3645313",,,1
55,"ERR-00055",62,56,"Low","Can hieu chuan lai cam bien trang thai dau sac","2026-01-27T22:27:39.3645313","2026-01-28T09:27:39.3645313",35,0
56,"ERR-00056",65,57,"High","Mat ket noi voi bo dieu khien cong sac","2026-02-07T22:27:39.3645313","2026-02-08T10:27:39.3645313",36,0
57,"ERR-00057",65,58,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2026-02-18T22:27:39.3645313","2026-02-19T11:27:39.3645313",9,0
58,"ERR-00058",67,59,"Low","Can hieu chuan lai cam bien trang thai dau sac","2026-03-01T22:27:39.3645313","2026-03-02T12:27:39.3645313",10,0
59,"ERR-00059",67,60,"Low","Can hieu chuan lai cam bien trang thai dau sac","2026-03-12T22:27:39.3645313","2026-03-13T13:27:39.3645313",11,0
60,"ERR-00060",70,61,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2026-03-23T22:27:39.3645313","2026-03-24T14:27:39.3645313",12,0
61,"ERR-00061",70,62,"Low","Can hieu chuan lai cam bien trang thai dau sac","2026-04-03T22:27:39.3645313","2026-04-04T15:27:39.3645313",13,0
62,"ERR-00062",73,63,"Low","Can hieu chuan lai cam bien trang thai dau sac","2026-04-14T22:27:39.3645313","2026-04-15T16:27:39.3645313",14,0
63,"ERR-00063",73,64,"High","Mat ket noi voi bo dieu khien cong sac","2026-04-25T22:27:39.3645313",,,1
64,"ERR-00064",75,65,"Low","Can hieu chuan lai cam bien trang thai dau sac","2026-05-06T22:27:39.3645313","2026-05-07T18:27:39.3645313",16,0
65,"ERR-00065",75,66,"Low","Can hieu chuan lai cam bien trang thai dau sac","2026-05-17T22:27:39.3645313","2026-05-18T19:27:39.3645313",17,0
66,"ERR-00066",76,67,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2026-05-28T22:27:39.3645313","2026-05-29T20:27:39.3645313",18,0
67,"ERR-00067",76,68,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-06-08T22:27:39.3645313","2024-06-09T21:27:39.3645313",19,0
68,"ERR-00068",78,69,"Critical","Nhiet do dau sac vuot nguong, tam dung phien sac de kiem tra","2024-06-19T22:27:39.3645313","2024-06-20T22:27:39.3645313",20,0
69,"ERR-00069",78,70,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2024-06-30T22:27:39.3645313","2024-07-01T23:27:39.3645313",21,0
70,"ERR-00070",81,71,"High","Mat ket noi voi bo dieu khien cong sac","2024-07-11T22:27:39.3645313","2024-07-13T00:27:39.3645313",22,0
71,"ERR-00071",81,72,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-07-22T22:27:39.3645313","2024-07-24T01:27:39.3645313",23,0
72,"ERR-00072",83,73,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2024-08-02T22:27:39.3645313",,,1
73,"ERR-00073",83,74,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-08-13T22:27:39.3645313","2024-08-15T03:27:39.3645313",25,0
74,"ERR-00074",85,75,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-08-24T22:27:39.3645313","2024-08-26T04:27:39.3645313",26,0
75,"ERR-00075",85,76,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2024-09-04T22:27:39.3645313","2024-09-06T05:27:39.3645313",27,0
76,"ERR-00076",87,77,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-09-15T22:27:39.3645313","2024-09-17T06:27:39.3645313",28,0
77,"ERR-00077",87,78,"High","Mat ket noi voi bo dieu khien cong sac","2024-09-26T22:27:39.3645313","2024-09-28T07:27:39.3645313",29,0
78,"ERR-00078",91,79,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2024-10-07T22:27:39.3645313","2024-10-09T08:27:39.3645313",30,0
79,"ERR-00079",91,80,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-10-18T22:27:39.3645313","2024-10-20T09:27:39.3645313",31,0
80,"ERR-00080",93,81,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-10-29T22:27:39.3645313","2024-10-31T10:27:39.3645313",32,0
81,"ERR-00081",93,82,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2024-11-09T22:27:39.3645313",,,1
82,"ERR-00082",95,83,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-11-20T22:27:39.3645313","2024-11-22T12:27:39.3645313",34,0
83,"ERR-00083",95,84,"Low","Can hieu chuan lai cam bien trang thai dau sac","2024-12-01T22:27:39.3645313","2024-12-03T13:27:39.3645313",35,0
84,"ERR-00084",97,85,"High","Mat ket noi voi bo dieu khien cong sac","2024-12-12T22:27:39.3645313","2024-12-14T14:27:39.3645313",36,0
85,"ERR-00085",97,86,"Critical","Nhiet do dau sac vuot nguong, tam dung phien sac de kiem tra","2024-12-23T22:27:39.3645313","2024-12-25T15:27:39.3645313",9,0
86,"ERR-00086",99,87,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-01-03T22:27:39.3645313","2025-01-05T16:27:39.3645313",10,0
87,"ERR-00087",99,88,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-01-14T22:27:39.3645313","2025-01-16T17:27:39.3645313",11,0
88,"ERR-00088",100,89,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-01-25T22:27:39.3645313","2025-01-27T18:27:39.3645313",12,0
89,"ERR-00089",100,90,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-02-05T22:27:39.3645313","2025-02-07T19:27:39.3645313",13,0
90,"ERR-00090",100,91,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-02-16T22:27:39.3645313",,,1
91,"ERR-00091",96,92,"High","Mat ket noi voi bo dieu khien cong sac","2025-02-27T22:27:39.3645313","2025-03-01T21:27:39.3645313",15,0
92,"ERR-00092",96,93,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-03-10T22:27:39.3645313","2025-03-12T22:27:39.3645313",16,0
93,"ERR-00093",96,94,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-03-21T22:27:39.3645313","2025-03-23T23:27:39.3645313",17,0
94,"ERR-00094",94,95,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-04-01T22:27:39.3645313","2025-04-04T00:27:39.3645313",18,0
95,"ERR-00095",94,96,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-04-12T22:27:39.3645313","2025-04-15T01:27:39.3645313",19,0
96,"ERR-00096",94,97,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-04-23T22:27:39.3645313","2025-04-24T02:27:39.3645313",20,0
97,"ERR-00097",92,98,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-05-04T22:27:39.3645313","2025-05-05T03:27:39.3645313",21,0
98,"ERR-00098",92,99,"High","Mat ket noi voi bo dieu khien cong sac","2025-05-15T22:27:39.3645313","2025-05-16T04:27:39.3645313",22,0
99,"ERR-00099",92,100,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-05-26T22:27:39.3645313",,,1
100,"ERR-00100",69,101,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-06-06T22:27:39.3645313","2025-06-07T06:27:39.3645313",24,0
101,"ERR-00101",69,102,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-06-17T22:27:39.3645313","2025-06-18T07:27:39.3645313",25,0
102,"ERR-00102",69,103,"Critical","Nhiet do dau sac vuot nguong, tam dung phien sac de kiem tra","2025-06-28T22:27:39.3645313","2025-06-29T08:27:39.3645313",26,0
103,"ERR-00103",90,104,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-07-09T22:27:39.3645313","2025-07-10T09:27:39.3645313",27,0
104,"ERR-00104",90,105,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-07-20T22:27:39.3645313","2025-07-21T10:27:39.3645313",28,0
105,"ERR-00105",90,106,"High","Mat ket noi voi bo dieu khien cong sac","2025-07-31T22:27:39.3645313","2025-08-01T11:27:39.3645313",29,0
106,"ERR-00106",88,107,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-08-11T22:27:39.3645313","2025-08-12T12:27:39.3645313",30,0
107,"ERR-00107",88,108,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-08-22T22:27:39.3645313","2025-08-23T13:27:39.3645313",31,0
108,"ERR-00108",88,109,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-09-02T22:27:39.3645313",,,1
109,"ERR-00109",86,110,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-09-13T22:27:39.3645313","2025-09-14T15:27:39.3645313",33,0
110,"ERR-00110",86,111,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-09-24T22:27:39.3645313","2025-09-25T16:27:39.3645313",34,0
111,"ERR-00111",86,112,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-10-05T22:27:39.3645313","2025-10-06T17:27:39.3645313",35,0
112,"ERR-00112",84,113,"High","Mat ket noi voi bo dieu khien cong sac","2025-10-16T22:27:39.3645313","2025-10-17T18:27:39.3645313",36,0
113,"ERR-00113",84,114,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-10-27T22:27:39.3645313","2025-10-28T19:27:39.3645313",9,0
114,"ERR-00114",84,115,"Medium","Dong dien dao dong bat thuong trong gio cao diem","2025-11-07T22:27:39.3645313","2025-11-08T20:27:39.3645313",10,0
115,"ERR-00115",82,116,"Low","Can hieu chuan lai cam bien trang thai dau sac","2025-11-18T22:27:39.3645313","2025-11-19T21:27:39.3645313",11,0
