TicketID,TicketCode,StationID,PointID,ErrorID,CreatedBy,AssignedTo,Priority,TicketStatus,Title,Description,OpenedAt,ClosedAt
1,"MT-00001",1,2,1,9,9,"Low","Closed","Xu ly su co ERR-00001","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-06-12T22:27:39.3645313","2024-06-13T03:27:39.3645313"
2,"MT-00002",3,3,2,9,9,"Low","Closed","Xu ly su co ERR-00002","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-06-23T22:27:39.3645313","2024-06-24T04:27:39.3645313"
3,"MT-00003",3,4,3,9,9,"Medium","Closed","Xu ly su co ERR-00003","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-07-04T22:27:39.3645313","2024-07-05T05:27:39.3645313"
4,"MT-00004",5,5,4,9,9,"Low","Closed","Xu ly su co ERR-00004","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-07-15T22:27:39.3645313","2024-07-16T06:27:39.3645313"
5,"MT-00005",5,6,5,9,9,"Low","Closed","Xu ly su co ERR-00005","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-07-26T22:27:39.3645313","2024-07-27T07:27:39.3645313"
6,"MT-00006",6,7,6,9,9,"Medium","Closed","Xu ly su co ERR-00006","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-08-06T22:27:39.3645313","2024-08-07T08:27:39.3645313"
7,"MT-00007",6,8,7,9,9,"High","Closed","Xu ly su co ERR-00007","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-08-17T22:27:39.3645313","2024-08-18T09:27:39.3645313"
8,"MT-00008",10,9,8,9,9,"Low","Closed","Xu ly su co ERR-00008","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-08-28T22:27:39.3645313","2024-08-29T10:27:39.3645313"
9,"MT-00009",10,10,9,9,9,"Medium","InProgress","Xu ly su co ERR-00009","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-09-08T22:27:39.3645313",
10,"MT-00010",12,11,10,9,9,"Low","Closed","Xu ly su co ERR-00010","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-09-19T22:27:39.3645313","2024-09-20T12:27:39.3645313"
11,"MT-00011",12,12,11,9,9,"Low","Closed","Xu ly su co ERR-00011","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-09-30T22:27:39.3645313","2024-10-01T13:27:39.3645313"
12,"MT-00012",14,13,12,9,9,"Medium","Closed","Xu ly su co ERR-00012","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-10-11T22:27:39.3645313","2024-10-12T14:27:39.3645313"
13,"MT-00013",14,14,13,9,9,"Low","Closed","Xu ly su co ERR-00013","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-10-22T22:27:39.3645313","2024-10-23T15:27:39.3645313"
14,"MT-00014",16,15,14,9,9,"High","Closed","Xu ly su co ERR-00014","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-11-02T22:27:39.3645313","2024-11-03T16:27:39.3645313"
15,"MT-00015",16,16,15,9,9,"Medium","Closed","Xu ly su co ERR-00015","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-11-13T22:27:39.3645313","2024-11-14T17:27:39.3645313"
16,"MT-00016",18,17,16,9,9,"Low","Closed","Xu ly su co ERR-00016","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-11-24T22:27:39.3645313","2024-11-25T18:27:39.3645313"
17,"MT-00017",18,18,17,9,9,"Critical","Closed","Xu ly su co ERR-00017","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-12-05T22:27:39.3645313","2024-12-06T19:27:39.3645313"
18,"MT-00018",21,19,18,9,9,"Medium","InProgress","Xu ly su co ERR-00018","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-12-16T22:27:39.3645313",
19,"MT-00019",21,20,19,9,9,"Low","Closed","Xu ly su co ERR-00019","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2024-12-27T22:27:39.3645313","2024-12-28T21:27:39.3645313"
20,"MT-00020",23,21,20,9,9,"Low","Closed","Xu ly su co ERR-00020","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-01-07T22:27:39.3645313","2025-01-08T22:27:39.3645313"
21,"MT-00021",23,22,21,9,9,"High","Closed","Xu ly su co ERR-00021","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-01-18T22:27:39.3645313","2025-01-19T23:27:39.3645313"
22,"MT-00022",24,23,22,9,9,"Low","Closed","Xu ly su co ERR-00022","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-01-29T22:27:39.3645313","2025-01-31T00:27:39.3645313"
23,"MT-00023",24,24,23,9,9,"Low","Closed","Xu ly su co ERR-00023","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-02-09T22:27:39.3645313","2025-02-11T01:27:39.3645313"
24,"MT-00024",26,25,24,9,9,"Medium","Closed","Xu ly su co ERR-00024","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-02-20T22:27:39.3645313","2025-02-22T02:27:39.3645313"
25,"MT-00025",26,26,25,9,9,"Low","Closed","Xu ly su co ERR-00025","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-03-03T22:27:39.3645313","2025-03-05T03:27:39.3645313"
26,"MT-00026",30,27,26,9,9,"Low","Closed","Xu ly su co ERR-00026","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-03-14T22:27:39.3645313","2025-03-16T04:27:39.3645313"
27,"MT-00027",30,28,27,9,9,"Medium","InProgress","Xu ly su co ERR-00027","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-03-25T22:27:39.3645313",
28,"MT-00028",32,29,28,9,9,"High","Closed","Xu ly su co ERR-00028","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-04-05T22:27:39.3645313","2025-04-07T06:27:39.3645313"
29,"MT-00029",32,30,29,9,9,"Low","Closed","Xu ly su co ERR-00029","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-04-16T22:27:39.3645313","2025-04-18T07:27:39.3645313"
30,"MT-00030",34,31,30,9,9,"Medium","Closed","Xu ly su co ERR-00030","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-04-27T22:27:39.3645313","2025-04-29T08:27:39.3645313"
31,"MT-00031",34,32,31,9,9,"Low","Closed","Xu ly su co ERR-00031","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-05-08T22:27:39.3645313","2025-05-10T09:27:39.3645313"
32,"MT-00032",35,33,32,9,9,"Low","Closed","Xu ly su co ERR-00032","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-05-19T22:27:39.3645313","2025-05-21T10:27:39.3645313"
33,"MT-00033",35,34,33,9,9,"Medium","Closed","Xu ly su co ERR-00033","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-05-30T22:27:39.3645313","2025-06-01T11:27:39.3645313"
34,"MT-00034",37,35,34,9,9,"Critical","Closed","Xu ly su co ERR-00034","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-06-10T22:27:39.3645313","2025-06-12T12:27:39.3645313"
35,"MT-00035",37,36,35,9,9,"High","Closed","Xu ly su co ERR-00035","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-06-21T22:27:39.3645313","2025-06-23T13:27:39.3645313"
36,"MT-00036",39,37,36,9,9,"Medium","InProgress","Xu ly su co ERR-00036","Len lich kiem tra thiet bi theo log van hanh va muc do anh huong cua tram.","2025-07-02T22:27:39.3645313",
