BookingID,BookingCode,UserID,VehicleID,StationID,PointID,BookedFrom,BookedTo,BookingStatus,CreatedAt,UpdatedAt
1,"BKG-00004941",492,441,100,89,"2024-06-16T21:55:00.0000000","2024-06-16T23:43:00.0000000","Completed","2024-06-16T20:15:00.0000000","2024-06-16T23:23:00.0000000"
2,"BKG-00004946",497,446,100,90,"2024-06-16T21:55:00.0000000","2024-06-16T23:44:00.0000000","Completed","2024-06-16T20:15:00.0000000","2024-06-16T23:24:00.0000000"
3,"BKG-00004966",517,466,96,94,"2024-06-16T21:55:00.0000000","2024-06-16T23:31:00.0000000","Completed","2024-06-16T20:15:00.0000000","2024-06-16T23:11:00.0000000"
4,"BKG-00004976",527,476,94,96,"2024-06-16T21:55:00.0000000","2024-06-17T00:20:00.0000000","Completed","2024-06-16T20:15:00.0000000","2024-06-17T00:00:00.0000000"
5,"BKG-00004996",547,496,92,100,"2024-06-16T21:55:00.0000000","2024-06-17T00:07:00.0000000","Completed","2024-06-16T20:15:00.0000000","2024-06-16T23:47:00.0000000"
6,"BKG-00002023",74,23,5,5,"2024-06-17T06:55:00.0000000","2024-06-17T08:19:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T07:59:00.0000000"
7,"BKG-00002078",129,78,16,16,"2024-06-17T06:55:00.0000000","2024-06-17T08:11:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T07:51:00.0000000"
8,"BKG-00002083",134,83,18,17,"2024-06-17T06:55:00.0000000","2024-06-17T08:13:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T07:53:00.0000000"
9,"BKG-00002103",154,103,23,21,"2024-06-17T06:55:00.0000000","2024-06-17T09:04:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:44:00.0000000"
10,"BKG-00002108",159,108,23,22,"2024-06-17T06:55:00.0000000","2024-06-17T08:34:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:14:00.0000000"
11,"BKG-00002118",169,118,24,24,"2024-06-17T06:55:00.0000000","2024-06-17T08:52:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:32:00.0000000"
12,"BKG-00002123",174,123,26,25,"2024-06-17T06:55:00.0000000","2024-06-17T08:29:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:09:00.0000000"
13,"BKG-00002128",179,128,26,26,"2024-06-17T06:55:00.0000000","2024-06-17T09:10:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:50:00.0000000"
14,"BKG-00002143",194,143,32,29,"2024-06-17T06:55:00.0000000","2024-06-17T09:05:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:45:00.0000000"
15,"BKG-00002168",219,168,35,34,"2024-06-17T06:55:00.0000000","2024-06-17T09:11:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:51:00.0000000"
16,"BKG-00002183",234,183,39,37,"2024-06-17T06:55:00.0000000","2024-06-17T09:06:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:46:00.0000000"
17,"BKG-00002228",279,228,50,46,"2024-06-17T06:55:00.0000000","2024-06-17T08:37:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:17:00.0000000"
18,"BKG-00002243",294,243,55,49,"2024-06-17T06:55:00.0000000","2024-06-17T08:32:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:12:00.0000000"
19,"BKG-00002258",309,258,57,52,"2024-06-17T06:55:00.0000000","2024-06-17T08:20:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:00:00.0000000"
20,"BKG-00002263",314,263,60,53,"2024-06-17T06:55:00.0000000","2024-06-17T09:08:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:48:00.0000000"
21,"BKG-00002308",359,308,70,62,"2024-06-17T06:55:00.0000000","2024-06-17T08:39:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:19:00.0000000"
22,"BKG-00002328",379,328,75,66,"2024-06-17T06:55:00.0000000","2024-06-17T09:15:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:55:00.0000000"
23,"BKG-00002343",394,343,78,69,"2024-06-17T06:55:00.0000000","2024-06-17T09:10:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:50:00.0000000"
24,"BKG-00002368",419,368,83,74,"2024-06-17T06:55:00.0000000","2024-06-17T09:28:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T09:08:00.0000000"
25,"BKG-00002388",439,388,87,78,"2024-06-17T06:55:00.0000000","2024-06-17T09:15:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:55:00.0000000"
26,"BKG-00002393",444,393,91,79,"2024-06-17T06:55:00.0000000","2024-06-17T10:03:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T09:43:00.0000000"
27,"BKG-00002418",469,418,95,84,"2024-06-17T06:55:00.0000000","2024-06-17T09:51:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T09:31:00.0000000"
28,"BKG-00002448",499,448,100,90,"2024-06-17T06:55:00.0000000","2024-06-17T08:36:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:16:00.0000000"
29,"BKG-00002458",509,458,96,92,"2024-06-17T06:55:00.0000000","2024-06-17T09:25:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T09:05:00.0000000"
30,"BKG-00002473",524,473,94,95,"2024-06-17T06:55:00.0000000","2024-06-17T09:11:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:51:00.0000000"
31,"BKG-00002483",534,483,94,97,"2024-06-17T06:55:00.0000000","2024-06-17T10:00:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T09:40:00.0000000"
32,"BKG-00002493",544,493,92,99,"2024-06-17T06:55:00.0000000","2024-06-17T08:58:00.0000000","Completed","2024-06-17T05:15:00.0000000","2024-06-17T08:38:00.0000000"
33,"BKG-00002030",81,30,5,6,"2024-06-17T11:55:00.0000000","2024-06-17T13:25:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:05:00.0000000"
34,"BKG-00002035",86,35,6,7,"2024-06-17T11:55:00.0000000","2024-06-17T13:27:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:07:00.0000000"
35,"BKG-00002040",91,40,6,8,"2024-06-17T11:55:00.0000000","2024-06-17T13:01:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T12:41:00.0000000"
36,"BKG-00002050",101,50,10,10,"2024-06-17T11:55:00.0000000","2024-06-17T13:23:00.0000000","Expired","2024-06-17T10:15:00.0000000","2024-06-17T13:03:00.0000000"
37,"BKG-00002060",111,60,12,12,"2024-06-17T11:55:00.0000000","2024-06-17T13:45:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:25:00.0000000"
38,"BKG-00002065",116,65,14,13,"2024-06-17T11:55:00.0000000","2024-06-17T13:01:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T12:41:00.0000000"
39,"BKG-00002070",121,70,14,14,"2024-06-17T11:55:00.0000000","2024-06-17T13:21:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:01:00.0000000"
40,"BKG-00002075",126,75,16,15,"2024-06-17T11:55:00.0000000","2024-06-17T13:23:00.0000000","Expired","2024-06-17T10:15:00.0000000","2024-06-17T13:03:00.0000000"
41,"BKG-00002095",146,95,21,19,"2024-06-17T11:55:00.0000000","2024-06-17T13:21:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:01:00.0000000"
42,"BKG-00002100",151,100,21,20,"2024-06-17T11:55:00.0000000","2024-06-17T13:41:00.0000000","Expired","2024-06-17T10:15:00.0000000","2024-06-17T13:21:00.0000000"
43,"BKG-00002110",161,110,23,22,"2024-06-17T11:55:00.0000000","2024-06-17T14:06:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:46:00.0000000"
44,"BKG-00002115",166,115,24,23,"2024-06-17T11:55:00.0000000","2024-06-17T13:43:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:23:00.0000000"
45,"BKG-00002140",191,140,30,28,"2024-06-17T11:55:00.0000000","2024-06-17T13:49:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:29:00.0000000"
46,"BKG-00002160",211,160,34,32,"2024-06-17T11:55:00.0000000","2024-06-17T13:14:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T12:54:00.0000000"
47,"BKG-00002165",216,165,35,33,"2024-06-17T11:55:00.0000000","2024-06-17T14:02:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:42:00.0000000"
48,"BKG-00002170",221,170,35,34,"2024-06-17T11:55:00.0000000","2024-06-17T13:32:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:12:00.0000000"
49,"BKG-00002180",231,180,37,36,"2024-06-17T11:55:00.0000000","2024-06-17T13:50:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:30:00.0000000"
50,"BKG-00002200",251,200,42,40,"2024-06-17T11:55:00.0000000","2024-06-17T13:15:00.0000000","Expired","2024-06-17T10:15:00.0000000","2024-06-17T12:55:00.0000000"
51,"BKG-00002220",271,220,46,44,"2024-06-17T11:55:00.0000000","2024-06-17T13:51:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:31:00.0000000"
52,"BKG-00002230",281,230,50,46,"2024-06-17T11:55:00.0000000","2024-06-17T14:09:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:49:00.0000000"
53,"BKG-00002240",291,240,52,48,"2024-06-17T11:55:00.0000000","2024-06-17T13:16:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T12:56:00.0000000"
54,"BKG-00002270",321,270,60,54,"2024-06-17T11:55:00.0000000","2024-06-17T14:10:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:50:00.0000000"
55,"BKG-00002305",356,305,70,61,"2024-06-17T11:55:00.0000000","2024-06-17T13:30:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:10:00.0000000"
56,"BKG-00002310",361,310,70,62,"2024-06-17T11:55:00.0000000","2024-06-17T14:11:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:51:00.0000000"
57,"BKG-00002325",376,325,75,65,"2024-06-17T11:55:00.0000000","2024-06-17T14:06:00.0000000","Expired","2024-06-17T10:15:00.0000000","2024-06-17T13:46:00.0000000"
58,"BKG-00002335",386,335,76,67,"2024-06-17T11:55:00.0000000","2024-06-17T13:13:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T12:53:00.0000000"
59,"BKG-00002345",396,345,78,69,"2024-06-17T11:55:00.0000000","2024-06-17T13:31:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:11:00.0000000"
60,"BKG-00002415",466,415,95,83,"2024-06-17T11:55:00.0000000","2024-06-17T13:31:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:11:00.0000000"
61,"BKG-00002435",486,435,99,87,"2024-06-17T11:55:00.0000000","2024-06-17T15:09:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T14:49:00.0000000"
62,"BKG-00002465",516,465,96,93,"2024-06-17T11:55:00.0000000","2024-06-17T13:54:00.0000000","Completed","2024-06-17T10:15:00.0000000","2024-06-17T13:34:00.0000000"
63,"BKG-00002475",526,475,94,95,"2024-06-17T11:55:00.0000000","2024-06-17T14:43:00.0000000","Expired","2024-06-17T10:15:00.0000000","2024-06-17T14:23:00.0000000"
64,"BKG-00002009",60,9,3,4,"2024-06-17T16:55:00.0000000","2024-06-17T18:25:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T18:05:00.0000000"
65,"BKG-00002019",70,19,6,8,"2024-06-17T16:55:00.0000000","2024-06-17T18:01:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T17:41:00.0000000"
66,"BKG-00002024",75,24,10,10,"2024-06-17T16:55:00.0000000","2024-06-17T18:21:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T18:01:00.0000000"
67,"BKG-00002032",83,32,14,13,"2024-06-17T16:55:00.0000000","2024-06-17T18:11:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T17:51:00.0000000"
68,"BKG-00002037",88,37,16,15,"2024-06-17T16:55:00.0000000","2024-06-17T18:13:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T17:53:00.0000000"
69,"BKG-00002044",95,44,18,18,"2024-06-17T16:55:00.0000000","2024-06-17T18:19:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T17:59:00.0000000"
70,"BKG-00002054",105,54,23,22,"2024-06-17T16:55:00.0000000","2024-06-17T18:41:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T18:21:00.0000000"
71,"BKG-00002072",123,72,32,29,"2024-06-17T16:55:00.0000000","2024-06-17T18:07:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T17:47:00.0000000"
72,"BKG-00002074",125,74,32,30,"2024-06-17T16:55:00.0000000","2024-06-17T18:39:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T18:19:00.0000000"
73,"BKG-00002082",133,82,35,33,"2024-06-17T16:55:00.0000000","2024-06-17T18:29:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T18:09:00.0000000"
74,"BKG-00002084",135,84,35,34,"2024-06-17T16:55:00.0000000","2024-06-17T18:15:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T17:55:00.0000000"
75,"BKG-00002087",138,87,37,35,"2024-06-17T16:55:00.0000000","2024-06-17T18:31:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T18:11:00.0000000"
76,"BKG-00002089",140,89,37,36,"2024-06-17T16:55:00.0000000","2024-06-17T18:17:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T17:57:00.0000000"
77,"BKG-00002102",153,102,44,41,"2024-06-17T16:55:00.0000000","2024-06-17T19:20:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T19:00:00.0000000"
78,"BKG-00002107",158,107,46,43,"2024-06-17T16:55:00.0000000","2024-06-17T18:57:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T18:37:00.0000000"
79,"BKG-00002112",163,112,50,45,"2024-06-17T16:55:00.0000000","2024-06-17T18:27:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T18:07:00.0000000"
80,"BKG-00002114",165,114,50,46,"2024-06-17T16:55:00.0000000","2024-06-17T18:59:00.0000000","Completed","2024-06-17T15:15:00.0000000","2024-06-17T18:39:00.0000000"
