SessionEventID,SessionID,EventType,EventPayload,CreatedAt
1,1,"Completed","Completed","2024-06-16T23:23:00.0000000"
2,2,"Completed","Completed","2024-06-16T23:24:00.0000000"
3,3,"Completed","Completed","2024-06-17T00:12:00.0000000"
4,4,"Completed","Completed","2024-06-17T00:13:00.0000000"
5,5,"Completed","Completed","2024-06-16T23:10:00.0000000"
6,6,"Completed","Completed","2024-06-16T23:11:00.0000000"
7,7,"Completed","Completed","2024-06-16T23:59:00.0000000"
8,8,"Completed","Completed","2024-06-17T00:00:00.0000000"
9,9,"Completed","Completed","2024-06-17T00:48:00.0000000"
10,10,"Completed","Completed","2024-06-17T00:49:00.0000000"
11,11,"Completed","Completed","2024-06-16T23:46:00.0000000"
12,12,"Completed","Completed","2024-06-16T23:47:00.0000000"
13,13,"Completed","Completed","2024-06-17T08:01:00.0000000"
14,14,"Completed","Completed","2024-06-17T08:21:00.0000000"
15,15,"Completed","Completed","2024-06-17T08:23:00.0000000"
16,16,"Completed","Completed","2024-06-17T07:57:00.0000000"
17,17,"Completed","Completed","2024-06-17T07:59:00.0000000"
18,18,"Completed","Completed","2024-06-17T08:19:00.0000000"
19,19,"Completed","Completed","2024-06-17T08:21:00.0000000"
20,20,"Completed","Completed","2024-06-17T07:55:00.0000000"
21,21,"Completed","Completed","2024-06-17T07:57:00.0000000"
22,22,"Completed","Completed","2024-06-17T08:17:00.0000000"
23,23,"Completed","Completed","2024-06-17T08:19:00.0000000"
24,24,"Completed","Completed","2024-06-17T07:53:00.0000000"
25,25,"Completed","Completed","2024-06-17T07:55:00.0000000"
26,26,"Completed","Completed","2024-06-17T08:15:00.0000000"
27,27,"Completed","Completed","2024-06-17T08:17:00.0000000"
28,28,"Completed","Completed","2024-06-17T07:51:00.0000000"
29,29,"Completed","Completed","2024-06-17T07:53:00.0000000"
30,30,"Completed","Completed","2024-06-17T08:13:00.0000000"
31,31,"Completed","Completed","2024-06-17T08:15:00.0000000"
32,32,"Completed","Completed","2024-06-17T07:49:00.0000000"
33,33,"Completed","Completed","2024-06-17T08:44:00.0000000"
34,34,"Completed","Completed","2024-06-17T08:14:00.0000000"
35,35,"Completed","Completed","2024-06-17T07:51:00.0000000"
36,36,"Completed","Completed","2024-06-17T08:32:00.0000000"
37,37,"Completed","Completed","2024-06-17T08:09:00.0000000"
38,38,"Completed","Completed","2024-06-17T08:50:00.0000000"
39,39,"Completed","Completed","2024-06-17T08:27:00.0000000"
40,40,"Completed","Completed","2024-06-17T07:57:00.0000000"
41,41,"Completed","Completed","2024-06-17T08:45:00.0000000"
42,42,"Completed","Completed","2024-06-17T08:15:00.0000000"
43,43,"Completed","Completed","2024-06-17T07:52:00.0000000"
44,44,"Completed","Completed","2024-06-17T08:33:00.0000000"
45,45,"Completed","Completed","2024-06-17T08:10:00.0000000"
46,46,"Completed","Completed","2024-06-17T08:51:00.0000000"
47,47,"Completed","Completed","2024-06-17T08:28:00.0000000"
48,48,"Completed","Completed","2024-06-17T07:58:00.0000000"
49,49,"Completed","Completed","2024-06-17T08:46:00.0000000"
50,50,"Completed","Completed","2024-06-17T08:16:00.0000000"
51,51,"Completed","Completed","2024-06-17T07:53:00.0000000"
52,52,"Completed","Completed","2024-06-17T08:34:00.0000000"
53,53,"Completed","Completed","2024-06-17T08:11:00.0000000"
54,54,"Completed","Completed","2024-06-17T08:52:00.0000000"
55,55,"Completed","Completed","2024-06-17T08:29:00.0000000"
56,56,"Completed","Completed","2024-06-17T07:59:00.0000000"
57,57,"Completed","Completed","2024-06-17T08:47:00.0000000"
58,58,"Completed","Completed","2024-06-17T08:17:00.0000000"
59,59,"Completed","Completed","2024-06-17T07:54:00.0000000"
60,60,"Completed","Completed","2024-06-17T08:35:00.0000000"
61,61,"Completed","Completed","2024-06-17T08:12:00.0000000"
62,62,"Completed","Completed","2024-06-17T08:53:00.0000000"
63,63,"Completed","Completed","2024-06-17T08:30:00.0000000"
64,64,"Completed","Completed","2024-06-17T08:00:00.0000000"
65,65,"Completed","Completed","2024-06-17T08:48:00.0000000"
66,66,"Completed","Completed","2024-06-17T08:18:00.0000000"
67,67,"Completed","Completed","2024-06-17T07:55:00.0000000"
68,68,"Completed","Completed","2024-06-17T08:36:00.0000000"
69,69,"Completed","Completed","2024-06-17T08:13:00.0000000"
70,70,"Completed","Completed","2024-06-17T08:54:00.0000000"
71,71,"Completed","Completed","2024-06-17T08:31:00.0000000"
72,72,"Completed","Completed","2024-06-17T08:01:00.0000000"
73,73,"Completed","Completed","2024-06-17T08:49:00.0000000"
74,74,"Completed","Completed","2024-06-17T08:19:00.0000000"
75,75,"Completed","Completed","2024-06-17T07:56:00.0000000"
76,76,"Completed","Completed","2024-06-17T08:37:00.0000000"
