VehicleID,UserID,PlateNumber,Brand,Model,BatteryCapacityKWh,PreferredConnectorTypeID,IsActive,CreatedAt
1,52,"30E-10001","VinFast","VF 8",82.00,3,1,"2023-12-05T01:00:00.0000000"
2,53,"43E-10002","VinFast","VF 9",92.00,1,1,"2023-12-06T01:00:00.0000000"
3,54,"61E-10003","Tesla","Model 3",75.00,1,1,"2023-12-07T01:00:00.0000000"
4,55,"15E-10004","Hyundai","Ioniq 5",72.60,1,1,"2023-12-08T01:00:00.0000000"
5,56,"60E-10005","Kia","EV6",77.40,1,1,"2023-12-09T01:00:00.0000000"
6,57,"65E-10006","BYD","Atto 3",60.50,1,1,"2023-12-10T01:00:00.0000000"
7,58,"72E-10007","MG","MG4 Electric",64.00,1,1,"2023-12-11T01:00:00.0000000"
8,59,"79E-10008","Porsche","Taycan",93.40,1,1,"2023-12-12T01:00:00.0000000"
9,60,"29E-10009","Volvo","XC40 Recharge",78.00,3,1,"2023-12-13T01:00:00.0000000"
10,61,"51E-10010","VinFast","VF e34",42.00,3,1,"2023-12-14T01:00:00.0000000"
11,62,"30E-10011","VinFast","VF 8",82.00,1,1,"2023-12-15T01:00:00.0000000"
12,63,"43E-10012","VinFast","VF 9",92.00,1,1,"2023-12-16T01:00:00.0000000"
13,64,"61E-10013","Tesla","Model 3",75.00,1,1,"2023-12-17T01:00:00.0000000"
14,65,"15E-10014","Hyundai","Ioniq 5",72.60,1,1,"2023-12-18T01:00:00.0000000"
15,66,"60E-10015","Kia","EV6",77.40,1,1,"2023-12-19T01:00:00.0000000"
16,67,"65E-10016","BYD","Atto 3",60.50,1,1,"2023-12-20T01:00:00.0000000"
17,68,"72E-10017","MG","MG4 Electric",64.00,1,1,"2023-12-21T01:00:00.0000000"
18,69,"79E-10018","Porsche","Taycan",93.40,3,1,"2023-12-22T01:00:00.0000000"
19,70,"29E-10019","Volvo","XC40 Recharge",78.00,3,1,"2023-12-23T01:00:00.0000000"
20,71,"51E-10020","VinFast","VF e34",42.00,1,1,"2023-12-24T01:00:00.0000000"
21,72,"30E-10021","VinFast","VF 8",82.00,1,1,"2023-12-25T01:00:00.0000000"
22,73,"43E-10022","VinFast","VF 9",92.00,1,1,"2023-12-26T01:00:00.0000000"
23,74,"61E-10023","Tesla","Model 3",75.00,1,1,"2023-12-27T01:00:00.0000000"
24,75,"15E-10024","Hyundai","Ioniq 5",72.60,1,1,"2023-12-28T01:00:00.0000000"
25,76,"60E-10025","Kia","EV6",77.40,1,1,"2023-12-29T01:00:00.0000000"
26,77,"65E-10026","BYD","Atto 3",60.50,1,1,"2023-12-30T01:00:00.0000000"
27,78,"72E-10027","MG","MG4 Electric",64.00,3,1,"2023-12-31T01:00:00.0000000"
28,79,"79E-10028","Porsche","Taycan",93.40,3,1,"2024-01-01T01:00:00.0000000"
29,80,"29E-10029","Volvo","XC40 Recharge",78.00,1,1,"2024-01-02T01:00:00.0000000"
